date,open,high,low,close,volume
2021-09-01,1.3814,1.4693,1.32,1.4104,31221780.0
2021-09-02,1.4105,1.4667,1.3307,1.354,29085535.0
2021-09-03,1.3546,1.4034,1.281,1.3202,27379608.0
2021-09-04,1.3203,1.6068,1.2928,1.3896,104555378.0
2021-09-05,1.3896,1.45,1.354,1.4124,56577711.0
2021-09-06,1.4124,1.495,1.293,1.3721,61297374.0
2021-09-07,1.3721,1.402,0.8847,1.042,99135877.0
2021-09-08,1.0443,1.1688,0.8886,1.0466,58527569.0
2021-09-09,1.0454,1.2356,1.0312,1.1535,66796308.0
2021-09-10,1.1537,1.2086,0.997,1.0384,40072675.0
2021-09-11,1.038,1.174,1.01,1.1175,47314104.0
2021-09-12,1.1165,1.4,1.1113,1.2627,176560131.0
2021-09-13,1.2641,1.2891,1.07,1.156,55026710.0
2021-09-14,1.1564,1.3403,1.1247,1.3196,88287200.0
2021-09-15,1.3197,1.3651,1.2316,1.2757,49616116.0
2021-09-16,1.2757,1.3079,1.2338,1.2598,35191604.0
2021-09-17,1.2595,1.2693,1.1352,1.1633,31517135.0
2021-09-18,1.1628,1.2649,1.145,1.2084,52437404.0
2021-09-19,1.2092,1.256,1.1748,1.2241,42845558.0
2021-09-20,1.2242,1.2726,0.9188,0.973,68453041.0
2021-09-21,0.972,1.0166,0.8305,0.854,43128406.0
2021-09-22,0.8549,0.985,0.8335,0.9675,44392383.0
2021-09-23,0.9673,1.0647,0.9429,1.0436,36017671.0
2021-09-24,1.0435,1.062,0.8482,0.9041,57995751.0
2021-09-25,0.9043,0.9364,0.8716,0.897,39306269.0
2021-09-26,0.897,0.8994,0.7955,0.8482,28934330.0
2021-09-27,0.8481,0.8939,0.8091,0.8118,22606168.0
2021-09-28,0.8121,0.8458,0.7576,0.7634,25763686.0
2021-09-29,0.7631,0.8245,0.7584,0.7797,19444804.0
2021-09-30,0.7797,0.8401,0.7761,0.8302,23803239.0
2021-10-01,0.8301,0.9193,0.8226,0.9014,38475096.0
2021-10-02,0.9015,1.0981,0.8894,0.9787,127917286.0
2021-10-03,0.9793,1.099,0.9447,1.0305,85426062.0
2021-10-04,1.0302,1.1137,0.9801,1.0269,91287690.0
2021-10-05,1.0279,1.07,0.9977,1.0406,39396757.0
2021-10-06,1.04,1.0545,0.955,0.9839,42354102.0
2021-10-07,0.9844,1.0331,0.9452,1.0092,57916043.0
2021-10-08,1.0093,1.0453,0.9746,0.9877,32086496.0
2021-10-09,0.9879,1.0346,0.9781,0.9976,23162094.0
2021-10-10,0.9974,1.1001,0.9585,0.9685,77699393.0
2021-10-11,0.9685,1.0001,0.9055,0.9393,43594405.0
2021-10-12,0.9393,0.9449,0.8684,0.9355,33981079.0
2021-10-13,0.9356,0.9857,0.9129,0.9687,36948913.0
2021-10-14,0.969,1.06,0.9578,0.9908,46655658.0
2021-10-15,0.9914,1.14,0.9595,1.0337,83290874.0
2021-10-16,1.0337,1.1903,1.0155,1.1668,80761732.0
2021-10-17,1.1669,1.215,1.0313,1.0819,85580705.0
2021-10-18,1.0821,1.1111,1.023,1.054,23582477.0
2021-10-19,1.0543,1.1008,1.0398,1.0768,24279397.0
2021-10-20,1.0765,1.1748,1.05,1.1531,50363455.0
2021-10-21,1.1522,1.1783,1.0685,1.0885,41198050.0
2021-10-22,1.0885,1.1289,1.067,1.0918,25798114.0
2021-10-23,1.092,1.1076,1.06,1.0955,18925777.0
2021-10-24,1.0962,1.1029,1.0107,1.0394,20015825.0
2021-10-25,1.0394,1.0789,1.0322,1.0625,17985881.0
2021-10-26,1.0625,1.136,1.0545,1.1021,40982378.0
2021-10-27,1.1031,1.2186,0.9002,0.9607,84680321.0
2021-10-28,0.9617,1.026,0.9465,0.986,38004236.0
2021-10-29,0.9859,1.0406,0.9787,1.0295,35243321.0
2021-10-30,1.0295,1.0338,0.971,1.0055,23809850.0
2021-10-31,1.005,1.082,0.9815,1.0712,32422690.0
2021-11-01,1.0707,1.2323,1.0004,1.1271,111989694.0
2021-11-02,1.1271,1.2778,1.1137,1.2421,48876249.0
2021-11-03,1.242,1.2956,1.1221,1.1843,34327285.0
2021-11-04,1.1842,1.292,1.1329,1.1672,43195566.0
2021-11-05,1.1671,1.1933,1.1155,1.1282,24002800.0
2021-11-06,1.1282,1.1431,1.05,1.1055,32724962.0
2021-11-07,1.105,1.1645,1.0883,1.1287,40427212.0
2021-11-08,1.1285,1.1869,1.1054,1.1598,29155671.0
2021-11-09,1.1598,1.2506,1.1396,1.2187,51121945.0
2021-11-10,1.2194,1.36,1.05,1.1399,80698405.0
2021-11-11,1.1397,1.74,1.1156,1.6907,324953981.0
2021-11-12,1.6932,1.7133,1.3072,1.363,157768177.0
2021-11-13,1.3632,1.3935,1.2701,1.286,44792930.0
2021-11-14,1.2869,1.39,1.2746,1.3423,54232495.0
2021-11-15,1.3424,1.3576,1.2013,1.2225,37975452.0
2021-11-16,1.2229,1.2231,0.99,1.0748,66763975.0
2021-11-17,1.0747,1.117,1.0262,1.0822,41577355.0
2021-11-18,1.0822,1.11,0.9122,0.9434,47193870.0
2021-11-19,0.9435,1.0332,0.9159,1.0133,40867768.0
2021-11-20,1.013,1.0549,0.9706,1.0447,36966624.0
2021-11-21,1.045,1.1026,1.0023,1.0556,44076420.0
2021-11-22,1.0556,1.062,0.9603,0.9783,50030563.0
2021-11-23,0.9778,1.0464,0.9675,1.0279,47700741.0
2021-11-24,1.0278,1.0694,0.9905,1.035,41333981.0
2021-11-25,1.035,1.0651,1.0007,1.0443,37380246.0
2021-11-26,1.0444,1.2776,0.9905,1.2209,236245513.0
2021-11-27,1.2209,1.4843,1.173,1.2074,156950200.0
2021-11-28,1.2075,1.2191,1.02,1.1227,72250102.0
2021-11-29,1.1227,1.196,1.067,1.1113,81079146.0
2021-11-30,1.1109,1.1924,1.0794,1.1306,82287453.0
2021-12-01,1.1304,1.1859,1.0951,1.1221,44822145.0
2021-12-02,1.122,1.1238,1.0367,1.0576,34429439.0
2021-12-03,1.0576,1.1015,0.94,1.0006,52750318.0
2021-12-04,1.0006,1.0035,0.612,0.7728,112174513.0
2021-12-05,0.7728,0.7857,0.6737,0.7132,45230415.0
2021-12-06,0.7134,0.7419,0.6294,0.7232,66427611.0
2021-12-07,0.723,0.7585,0.7028,0.7173,94024730.0
2021-12-08,0.7173,0.79,0.6738,0.7533,100560258.0
2021-12-09,0.7533,0.8096,0.6893,0.6949,88200094.0
2021-12-10,0.6949,0.7264,0.6574,0.6624,50514392.0
2021-12-11,0.6629,0.7026,0.647,0.7023,23082192.0
2021-12-12,0.7024,0.7199,0.6731,0.7078,74144838.0
2021-12-13,0.7077,0.7191,0.6008,0.6159,47298880.0
2021-12-14,0.6157,0.649,0.6064,0.6429,28085914.0
2021-12-15,0.6429,0.6613,0.5921,0.6473,35703951.0
2021-12-16,0.6473,0.6711,0.6155,0.6187,36696300.0
2021-12-17,0.6189,0.6331,0.592,0.6059,40539665.0
2021-12-18,0.6061,0.6342,0.5968,0.6127,35732756.0
2021-12-19,0.6126,0.626,0.6051,0.6149,20287369.0
2021-12-20,0.6149,0.645,0.5655,0.5987,43461951.0
2021-12-21,0.5989,0.6299,0.5908,0.6285,21668344.0
2021-12-22,0.6285,0.689,0.6183,0.6587,94592627.0
2021-12-23,0.6588,0.7289,0.6504,0.7138,93869381.0
2021-12-24,0.7137,0.737,0.671,0.6804,47833600.0
2021-12-25,0.6806,0.7267,0.6738,0.7092,31842680.0
2021-12-26,0.709,0.7303,0.6769,0.7125,32701261.0
2021-12-27,0.7128,0.7835,0.711,0.7339,48944590.0
