date,open,high,low,close,volume
2020-07-30,3.8951,4.299,3.7396,3.9774,10325679.5
2020-07-31,3.9812,4.3832,3.9526,4.2311,13978267.600000015
2020-08-01,4.2334,4.2988,3.9828,4.0093,13942494.299999973
2020-08-02,4.0087,4.1475,3.0598,4.0542,15668046.199999986
2020-08-03,4.0532,4.2489,4.0095,4.2199,13395909.700000025
2020-08-04,4.2219,5.0297,4.155,4.9405,17102072.899999976
2020-08-05,4.9405,8.3782,4.7909,7.1814,21860421.299999937
2020-08-06,7.1814,8.6491,7.1139,8.0585,22185246.399999972
2020-08-07,8.0585,8.83,7.4186,8.5657,19272927.999999907
2020-08-08,8.5663,12.5,8.501,10.8573,29074581.399999943
2020-08-09,10.8591,15.4,10.1275,14.9218,28754446.599999916
2020-08-10,14.92,17.9499,12.81,14.2795,33546813.499999955
2020-08-11,14.2795,14.95,11.4,12.6058,24591459.59999983
2020-08-12,12.6245,15.6955,11.4096,14.7915,24289909.699999943
2020-08-13,14.7837,15.6798,13.0,14.2504,21974360.19999981
2020-08-14,14.2455,14.9348,13.3818,13.7478,16147975.300000018
2020-08-15,13.7543,15.5422,13.341,14.6984,16574341.800000045
2020-08-16,14.7066,15.5,14.3,14.5196,15898800.500000024
2020-08-17,14.5195,15.4753,13.5,13.6513,8519945.200000016
2020-08-18,13.6703,14.1061,12.1045,12.7551,6220112.200000025
2020-08-19,12.7443,13.3679,11.2736,12.0155,7856143.900000017
2020-08-20,12.0084,13.0895,11.8011,12.2991,5962891.600000024
2020-08-21,12.2855,12.4547,10.0,10.3301,7373331.5
2020-08-22,10.339,13.378,9.6502,12.2613,8571546.70000003
2020-08-23,12.2608,12.5411,11.5,11.7697,4126892.5000000596
2020-08-24,11.7611,12.3166,11.2309,11.7512,2305846.500000059
2020-08-25,11.7562,11.7963,10.2378,11.113,2801884.2000000547
2020-08-26,11.1131,13.6815,10.8948,13.0485,7696737.500000055
2020-08-27,13.044,14.082,11.5616,12.1724,7875980.900000057
2020-08-28,12.1607,12.9467,11.949,12.7722,3647426.700000047
2020-08-29,12.7727,13.7,12.5815,12.7158,4076382.5000000503
2020-08-30,12.7157,14.2498,12.6978,13.7096,4749692.500000032
2020-08-31,13.7087,13.9412,12.91,13.0271,2721177.3000000254
2020-09-01,13.023,15.8546,12.6293,15.5116,5610558.100000033
2020-09-02,15.5099,16.9415,13.577,14.3952,8372844.100000042
2020-09-03,14.3961,14.9,10.1,10.9642,7563350.600000013
2020-09-04,10.9565,11.58,9.4519,10.9342,7350713.299999993
2020-09-05,10.9384,11.4426,7.962,8.1415,6044355.200000024
2020-09-06,8.1402,10.3023,6.51,9.6006,10318659.30000003
2020-09-07,9.5948,9.7411,7.831,9.3691,5452159.000000034
2020-09-08,9.3621,9.4564,8.212,8.5595,3426390.1000000173
2020-09-09,8.5503,9.1485,7.9216,8.791,3483705.600000021
2020-09-10,8.7776,9.4289,8.5564,8.8255,3847843.5000000116
2020-09-11,8.8108,9.135,8.3073,8.8249,3204284.8000000142
2020-09-12,8.8353,9.345,8.6348,9.027,3595372.9000000167
2020-09-13,9.034,9.524,8.1614,8.6046,3149984.5000000275
2020-09-14,8.6059,8.6851,7.8692,8.2046,2381343.40000002
2020-09-15,8.2017,8.3507,7.2358,7.427,2936579.3000000133
2020-09-16,7.4207,7.4741,6.9001,7.0671,2586899.500000021
2020-09-17,7.0697,7.5466,6.5601,6.621,2669977.0000000168
2020-09-18,6.622,6.9226,5.7792,6.0706,4978970.100000006
2020-09-19,6.0714,7.245,5.7833,7.0847,6106530.400000014
2020-09-20,7.0835,7.3675,6.4629,6.5916,5259298.400000014
2020-09-21,6.5876,6.7839,5.5412,5.9052,5695695.800000032
2020-09-22,5.9052,6.297,5.6827,6.1968,2506262.4000000344
2020-09-23,6.1968,6.5,5.6112,5.7312,3413085.300000035
2020-09-24,5.7263,6.9342,5.6691,6.6224,4048241.500000036
2020-09-25,6.6123,7.338,6.2942,6.9939,3795689.8000000394
2020-09-26,7.0018,7.3432,6.8292,6.95,2330292.4000000414
2020-09-27,6.949,7.25,6.2206,6.488,3703134.2000000314
2020-09-28,6.4816,7.0921,6.37,6.5006,3506995.100000038
2020-09-29,6.5029,7.0,6.2291,6.6814,4148156.1000000294
2020-09-30,6.688,6.7039,6.2853,6.4971,1912262.9000000318
2020-10-01,6.4956,7.11,6.1133,6.4136,3469290.0000000307
2020-10-02,6.4127,6.55,5.6809,6.0378,3170968.700000025
2020-10-03,6.0427,6.2281,5.8986,5.9647,1489773.4000000337
2020-10-04,5.9697,6.0456,5.7181,5.9925,1620937.500000031
2020-10-05,5.9934,6.089,5.7183,5.8792,1706778.5000000282
2020-10-06,5.8803,6.1044,5.7801,5.8458,3900914.600000028
2020-10-07,5.8409,5.865,5.0,5.4601,5733841.200000049
2020-10-08,5.459,5.8767,5.0345,5.6875,4417839.200000052
2020-10-09,5.6892,6.506,5.5745,6.4073,4285450.50000006
2020-10-10,6.4035,6.8,6.322,6.4028,3437177.1000000597
2020-10-11,6.3995,7.005,6.1912,6.9402,4116722.60000006
