date,open,high,low,close,volume
2019-12-20,185.99,190.5,183.02,187.41,225130.54599999948
2019-12-21,187.43,188.49,185.02,186.21,167471.83199999944
2019-12-22,186.21,197.81,185.7,196.19,116332.60299999938
2019-12-23,196.19,198.66,187.77,189.61,88983.91799999977
2019-12-24,189.61,192.11,184.3,188.34,95153.13599999931
2019-12-25,188.34,188.8,182.65,185.26,79815.77599999955
2019-12-26,185.27,194.76,184.07,187.62,99537.92299999965
2019-12-27,187.6,203.81,186.72,203.18,174701.0459999995
2019-12-28,203.2,210.0,202.44,206.08,212754.71799999947
2019-12-29,206.08,215.78,204.05,212.21,231217.0179999995
2019-12-30,212.2,214.78,205.7,208.45,234498.74699999977
2019-12-31,208.45,214.0,201.73,204.72,320814.993999999
2020-01-01,204.72,208.95,202.95,204.44,235950.12699999748
2020-01-02,204.45,205.54,192.08,195.73,307659.5049999987
2020-01-03,195.6,226.2,192.05,222.31,560968.0419999979
2020-01-04,222.31,227.19,219.3,224.37,478534.8439999966
2020-01-05,224.24,227.6,220.51,222.68,460171.5409999993
2020-01-06,222.73,248.08,222.0,244.1,606014.5149999963
2020-01-07,244.12,246.97,231.93,242.32,610964.4559999979
2020-01-08,242.36,257.71,230.0,240.17,611483.1169999939
2020-01-09,240.17,244.0,231.1,238.03,391595.05899999413
2020-01-10,238.08,274.93,231.3,271.71,742149.5909999935
2020-01-11,271.76,279.5,258.7,260.84,528805.6709999938
2020-01-12,260.71,270.9,258.0,270.77,281476.57299999316
2020-01-13,270.83,273.0,260.76,267.0,186010.48999999318
2020-01-14,267.09,370.0,267.09,348.76,1266958.6069999936
2020-01-15,348.55,362.76,312.5,340.3,970851.1109999968
2020-01-16,340.36,343.44,310.2,326.77,565649.5020000017
2020-01-17,326.77,384.17,320.0,368.2,696514.1799999991
2020-01-18,368.18,408.37,330.46,339.63,761635.3000000016
2020-01-19,339.65,366.59,320.15,339.62,475794.15500000224
2020-01-20,339.79,353.14,322.97,343.88,252874.1070000028
2020-01-21,343.88,348.02,332.41,343.48,169198.7350000027
2020-01-22,343.54,355.66,339.5,349.12,152726.09600000246
2020-01-23,349.42,350.45,316.64,325.55,274632.36700000206
2020-01-24,325.58,329.0,298.63,319.2,455228.4880000024
2020-01-25,319.25,319.86,305.0,310.49,230327.8720000017
2020-01-26,310.35,349.4,308.0,347.89,369421.7130000013
2020-01-27,347.91,377.87,347.79,362.79,550555.0050000029
2020-01-28,362.9,385.84,360.8,378.82,421887.57400000293
2020-01-29,378.82,396.33,375.96,380.4,364107.69500000315
2020-01-30,380.54,400.36,372.0,392.81,402649.38300000335
2020-01-31,392.85,395.8,365.09,375.22,331651.5930000042
2020-02-01,375.35,390.0,372.89,380.63,279493.7130000036
2020-02-02,380.62,387.93,369.7,377.72,282770.45000000333
2020-02-03,377.83,393.0,374.97,384.42,270961.08500000334
2020-02-04,384.43,389.75,373.2,381.04,254456.49100000286
2020-02-05,381.39,446.8,378.86,445.34,645369.2420000017
2020-02-06,445.36,449.0,417.12,446.26,514588.78800000163
2020-02-07,446.26,460.0,432.95,439.66,451019.0610000048
2020-02-08,439.55,455.35,425.7,444.89,396768.9580000056
2020-02-09,444.98,462.19,435.6,450.5,330721.98800000554
2020-02-10,450.5,463.18,437.01,452.63,376636.50800000515
2020-02-11,452.63,470.63,441.66,462.8,396722.1840000072
2020-02-12,462.81,483.37,462.81,474.07,363423.3700000065
2020-02-13,474.08,487.7,460.24,477.33,361949.7030000041
2020-02-14,477.51,498.83,467.06,494.15,325020.0800000051
2020-02-15,494.18,496.19,422.22,439.29,458579.2530000047
2020-02-16,439.41,458.65,383.0,412.12,591293.6300000048
2020-02-17,412.1,417.58,366.73,413.23,893342.9820000016
2020-02-18,413.4,427.6,385.0,420.83,427137.0610000031
2020-02-19,420.83,424.28,370.0,378.61,350040.47600000224
2020-02-20,378.62,388.29,350.0,370.97,439154.8450000011
2020-02-21,371.07,388.2,367.4,378.45,345691.01900000055
2020-02-22,378.52,380.77,367.57,373.41,240633.6540000004
2020-02-23,373.45,404.69,372.87,402.06,288177.60600000096
2020-02-24,402.05,408.59,363.17,378.53,454837.17699999927
2020-02-25,378.52,380.15,345.76,353.31,445593.55600000016
2020-02-26,353.37,362.62,301.86,316.94,977175.5130000042
2020-02-27,316.98,335.48,307.6,324.75,432744.15800000203
2020-02-28,324.75,329.55,299.1,315.17,429787.17000000237
2020-02-29,315.15,322.99,305.7,306.32,250679.22900000252
2020-03-01,306.24,325.36,304.32,312.23,378310.5860000016
2020-03-02,312.28,343.26,311.11,339.54,368554.64300000237
2020-03-03,339.58,339.6,321.34,329.65,362667.56100000127
2020-03-04,329.67,332.5,310.32,319.74,236867.47500000184
2020-03-05,319.7,344.0,319.7,337.39,352830.6290000019
2020-03-06,337.3,352.75,332.37,350.72,346589.3850000029
2020-03-07,350.82,351.34,327.23,331.06,309081.10000000335
2020-03-08,330.99,331.0,268.06,273.18,743524.1580000027
2020-03-09,273.14,280.47,252.18,273.21,879518.391000003
2020-03-10,273.25,278.38,263.06,272.03,383150.6809999992
2020-03-11,272.06,275.2,250.4,267.4,408388.84899999877
2020-03-12,267.4,268.16,135.94,142.74,1095080.0569999984
2020-03-13,142.74,189.35,128.63,177.39,1201190.8060000006
2020-03-14,177.39,180.52,164.04,167.38,534244.0790000007
2020-03-15,167.33,190.99,165.66,178.34,454298.03200000245
2020-03-16,178.26,184.47,146.0,172.41,1099069.8190000018
2020-03-17,172.41,188.28,168.79,182.46,740718.9500000004
2020-03-18,182.45,186.03,169.0,184.94,550423.0000000006
2020-03-19,184.94,234.0,177.9,220.99,808091.1059999989
2020-03-20,221.03,247.05,189.14,215.23,1031704.8379999984
2020-03-21,215.2,229.27,206.4,220.1,662721.8009999956
2020-03-22,220.06,233.45,199.78,202.8,633937.6799999942
2020-03-23,202.78,227.8,198.67,221.37,611540.3559999932
2020-03-24,221.3,230.87,217.57,227.42,436015.02499999426
2020-03-25,227.4,231.17,212.92,220.79,378288.73799999367
2020-03-26,220.91,228.74,218.01,227.95,284932.5819999937
2020-03-27,227.94,234.0,208.04,213.27,292045.75899999455
2020-03-28,213.27,217.45,202.11,213.84,297763.42899999383
2020-03-29,213.82,217.51,204.27,205.5,253587.54799999372
2020-03-30,205.43,227.04,205.25,220.08,334014.99499999365
2020-03-31,220.1,223.91,215.83,218.39,281242.3999999934
2020-04-01,218.41,225.0,211.0,223.68,333411.40199999325
2020-04-02,223.86,252.16,221.97,232.02,530697.8769999929
2020-04-03,232.0,242.19,230.27,236.19,391512.324999992
2020-04-04,236.17,242.62,232.03,238.23,277061.44599999057
2020-04-05,238.25,240.09,223.56,231.08,270175.0179999908
2020-04-06,231.1,260.68,230.92,258.25,437561.4719999901
2020-04-07,258.4,265.88,246.66,252.51,370463.0779999905
2020-04-08,252.51,280.15,250.11,267.47,802738.7369999905
2020-04-09,267.47,275.0,252.49,256.0,444001.78499998996
2020-04-10,256.0,259.19,225.3,232.6,631191.4319999911
2020-04-11,232.58,239.9,221.5,232.72,406776.1419999902
2020-04-12,232.76,244.69,226.75,232.86,429818.9239999918
2020-04-13,232.78,232.79,214.66,223.13,522440.66999999277
2020-04-14,223.22,228.25,219.93,223.18,386429.0999999919
2020-04-15,223.18,225.32,213.9,215.06,288026.0009999934
2020-04-16,215.04,240.0,206.41,235.12,493699.4709999917
2020-04-17,235.13,237.15,229.35,232.11,255440.8359999926
2020-04-18,232.09,248.0,231.67,243.89,289969.35699999187
2020-04-19,243.89,245.21,229.0,231.29,300756.2549999924
2020-04-20,231.29,238.78,215.66,219.14,415098.666999993
2020-04-21,219.12,223.91,215.01,219.49,293855.7839999921
2020-04-22,219.54,236.37,217.18,233.12,303514.7579999924
2020-04-23,233.19,247.48,225.86,237.61,384843.9649999931
2020-04-24,237.6,242.7,234.52,238.05,300044.9909999917
2020-04-25,238.12,246.11,235.24,238.24,246846.1359999927
2020-04-26,238.24,249.78,237.31,246.51,319292.48799999285
2020-04-27,246.59,248.27,234.15,242.98,361377.0219999933
2020-04-28,242.98,243.33,237.23,241.17,310601.5999999924
2020-04-29,241.22,263.66,241.11,258.06,576709.5029999934
2020-04-30,258.06,276.0,245.23,250.32,634222.7009999935
2020-05-01,250.25,260.59,250.24,255.05,316307.80299999495
2020-05-02,255.06,261.49,252.39,261.25,192953.64399999534
2020-05-03,261.26,268.33,243.58,251.69,340687.7139999946
2020-05-04,251.7,252.69,235.7,245.76,326909.74499999476
2020-05-05,245.84,252.61,240.77,247.04,257285.58199999493
2020-05-06,247.05,253.73,239.56,241.49,255925.566999995
2020-05-07,241.33,256.96,236.54,252.25,340298.32899999514
2020-05-08,252.24,265.92,248.18,260.63,402655.3559999941
2020-05-09,260.67,277.7,258.78,265.67,669660.8309999958
2020-05-10,265.69,266.09,219.0,232.8,743279.085999995
2020-05-11,232.75,238.25,216.2,235.18,603401.945999996
2020-05-12,235.21,239.25,228.3,233.21,330126.6669999957
2020-05-13,233.19,242.0,231.6,239.36,208091.54999999533
2020-05-14,239.29,245.89,233.57,242.5,282862.10099999525
2020-05-15,242.53,243.37,230.98,235.17,223848.01899999537
2020-05-16,235.09,240.86,233.56,236.42,212431.15399999474
2020-05-17,236.41,246.1,235.56,240.75,187186.9999999958
2020-05-18,240.77,255.91,240.24,248.58,310328.9169999961
2020-05-19,248.58,250.95,242.53,246.82,248688.7489999965
2020-05-20,246.86,247.82,234.38,239.81,271830.08099999675
2020-05-21,239.83,243.0,220.46,228.1,329694.61099999625
2020-05-22,228.13,236.64,224.87,234.65,226763.00599999668
2020-05-23,234.65,239.95,231.96,233.99,167097.41799999686
2020-05-24,234.06,237.58,222.22,222.91,207444.32199999708
2020-05-25,222.94,233.36,220.75,230.56,176426.23399999642
2020-05-26,230.56,231.31,223.83,227.95,159133.9289999963
2020-05-27,227.98,234.57,227.02,232.81,149318.98599999648
2020-05-28,232.85,241.09,229.02,239.92,180429.94999999722
2020-05-29,239.92,244.1,234.06,238.5,194918.6419999964
2020-05-30,238.5,254.15,236.28,252.56,302165.7139999968
2020-05-31,252.62,252.86,236.22,238.78,283118.36899999494
2020-06-01,238.78,255.42,237.66,253.64,324293.53599999583
2020-06-02,253.64,277.5,240.74,251.04,686115.6649999962
2020-06-03,251.08,254.35,246.37,253.49,288750.58999999624
2020-06-04,253.49,261.2,247.21,256.37,409764.16399999673
2020-06-05,256.37,263.61,254.5,256.3,374398.29799999634
2020-06-06,256.24,258.8,251.0,253.33,228956.210999995
2020-06-07,253.33,255.98,245.44,253.64,268526.3379999949
2020-06-08,253.64,256.85,251.5,255.47,189088.96799999478
2020-06-09,255.47,257.34,249.48,254.14,205466.4089999955
2020-06-10,254.13,258.9,250.2,257.0,278715.20899999514
2020-06-11,257.0,258.16,230.61,234.84,342340.3909999944
2020-06-12,234.82,243.87,233.08,240.99,173985.5029999945
2020-06-13,240.93,242.4,237.34,240.82,113636.57299999369
2020-06-14,240.86,241.0,235.01,237.46,112546.84999999362
2020-06-15,237.56,238.27,224.2,235.56,275879.6619999941
2020-06-16,235.57,239.08,233.0,237.4,155026.81199999442
2020-06-17,237.4,243.44,234.92,240.37,195848.63299999468
