date,open,high,low,close,volume
2021-07-29,313.48,320.38,308.11,316.8,14687.659999999982
2021-07-30,316.83,325.56,306.01,322.32,22630.49999999999
2021-07-31,322.5,338.46,317.5,332.08,22847.019999999942
2021-08-01,332.08,347.93,328.6,332.6,31533.989999999972
2021-08-02,332.52,338.11,326.4,330.6,32558.340000000255
2021-08-03,330.5,334.45,317.1,323.29,29774.15000000024
2021-08-04,323.3,337.13,319.72,334.82,27324.420000000155
2021-08-05,334.71,340.0,323.5,337.91,37381.30000000019
2021-08-06,337.94,347.26,331.0,342.11,35025.35000000017
2021-08-07,342.11,359.87,340.3,356.29,43455.59000000014
2021-08-08,356.28,359.91,337.0,341.77,42869.88000000004
2021-08-09,341.97,357.56,333.38,354.54,38558.53999999998
2021-08-10,354.48,376.57,348.71,371.98,53514.960000000116
2021-08-11,372.06,409.2,371.4,391.46,83785.47000000022
2021-08-12,391.42,407.17,372.09,385.91,98343.70000000008
2021-08-13,385.97,412.0,383.05,411.32,84697.39999999997
2021-08-14,411.45,420.0,400.33,408.99,99558.97000000013
2021-08-15,409.03,415.29,396.75,414.44,61525.11000000032
2021-08-16,414.4,437.94,411.3,415.94,104769.11
2021-08-17,415.94,436.17,398.85,401.94,138551.5900000005
2021-08-18,402.0,412.3,385.15,396.21,167302.8300000004
2021-08-19,396.26,431.96,391.22,431.4,162975.20000000007
2021-08-20,431.44,458.23,422.0,455.14,127333.01000000059
2021-08-21,455.25,460.53,445.17,449.13,142040.4100000004
2021-08-22,449.12,458.58,437.78,448.92,125842.30999999997
2021-08-23,449.01,510.57,447.15,499.5,302170.90999999974
2021-08-24,499.5,504.91,461.42,472.28,258304.41999999894
2021-08-25,472.21,507.43,470.62,503.49,252632.05999999764
2021-08-26,503.43,519.33,472.03,478.32,331791.44999999885
2021-08-27,478.41,495.3,467.7,494.93,216522.6599999987
2021-08-28,495.01,497.56,483.52,486.74,107929.79999999923
2021-08-29,486.74,496.0,476.57,480.27,118127.99999999935
2021-08-30,480.27,481.6,457.46,460.5,148745.85999999932
2021-08-31,460.43,477.85,452.33,464.63,213337.149999999
2021-09-01,464.61,490.5,456.0,489.64,180407.009999999
2021-09-02,489.63,505.3,478.78,484.3,186369.4299999995
2021-09-03,484.32,494.89,473.9,488.93,140944.2299999993
2021-09-04,489.04,511.22,486.24,498.59,158827.70999999924
2021-09-05,498.66,506.42,489.0,505.7,106370.15999999954
2021-09-06,505.69,509.97,489.0,496.51,132991.45999999938
2021-09-07,496.52,505.61,354.16,418.56,355938.11999999976
2021-09-08,418.6,425.31,382.24,414.98,224547.0199999997
