date,open,high,low,close,volume
2020-07-01,216.38,216.8,200.0,201.05,66459.78700000005
2020-07-02,201.06,205.0,173.98,179.04,182149.56600000022
2020-07-03,179.04,191.56,170.05,171.73,135389.96900000068
2020-07-04,171.74,186.9,163.01,180.39,196237.08000000045
2020-07-05,180.15,205.0,176.6,201.01,248072.5860000005
2020-07-06,201.01,201.01,187.98,194.76,115208.93800000062
2020-07-07,194.73,196.88,182.32,187.42,82332.95300000065
2020-07-08,187.42,189.61,180.44,184.56,93799.58400000064
2020-07-09,184.55,188.61,176.0,180.1,106907.32700000057
2020-07-10,180.09,180.92,172.6,175.3,84138.13900000053
2020-07-11,175.3,184.66,174.2,178.19,103933.94800000079
2020-07-12,178.19,183.35,175.05,176.67,56543.15800000088
2020-07-13,176.68,178.47,154.53,166.27,116859.23500000095
2020-07-14,166.27,166.9,159.01,163.91,90677.1260000008
2020-07-15,163.91,166.67,159.6,160.11,69218.09200000095
2020-07-16,160.12,165.0,152.0,154.88,85681.16200000093
2020-07-17,154.81,175.0,154.3,167.18,194743.07100000052
2020-07-18,167.28,167.79,160.62,163.86,108988.30399999987
2020-07-19,163.82,164.87,158.95,163.79,62229.47499999973
2020-07-20,163.79,174.0,152.55,158.16,185270.53999999998
2020-07-21,158.11,162.3,157.42,159.8,71692.83799999896
2020-07-22,159.81,160.18,153.2,157.59,97658.87199999909
2020-07-23,157.53,162.5,155.0,156.55,80984.12499999919
2020-07-24,156.55,158.28,154.55,155.39,49605.25499999917
2020-07-25,155.39,157.92,154.11,156.21,61497.90299999923
2020-07-26,156.22,164.0,154.47,157.83,120680.46399999931
2020-07-27,157.83,158.78,121.12,135.52,254608.07399999825
2020-07-28,135.54,140.88,128.61,136.81,118997.0969999985
2020-07-29,136.8,139.97,131.4,133.45,62488.340999998436
2020-07-30,133.44,135.94,131.83,133.16,56480.70199999848
2020-07-31,133.1,139.94,129.27,135.02,133749.38099999854
2020-08-01,135.09,144.28,134.32,138.01,138765.66799999814
2020-08-02,138.01,139.84,110.77,127.46,152639.7419999983
2020-08-03,127.44,132.3,124.28,126.67,63142.55699999832
2020-08-04,126.8,133.0,126.29,132.06,64434.83799999823
2020-08-05,131.99,140.95,128.65,134.82,133845.86099999814
2020-08-06,134.82,142.95,132.7,137.17,131708.43199999852
2020-08-07,137.17,156.0,136.7,154.12,333827.69099999726
2020-08-08,154.19,161.0,148.0,153.02,187276.7939999975
2020-08-09,153.14,175.34,148.99,170.97,230591.82399999755
2020-08-10,170.97,187.54,164.83,176.73,241662.4129999962
2020-08-11,176.63,196.0,152.5,193.26,320934.5859999959
2020-08-12,193.59,250.0,189.03,218.47,788393.7849999963
2020-08-13,218.4,230.0,183.0,205.42,533853.9879999948
2020-08-14,205.47,217.36,190.94,196.52,253118.5149999929
2020-08-15,196.53,212.0,185.51,196.01,261602.38399999405
2020-08-16,196.21,207.5,191.6,201.84,201817.32099999423
2020-08-17,201.81,202.94,183.0,184.5,211308.2289999938
2020-08-18,184.42,191.06,170.19,187.6,247874.7759999943
2020-08-19,187.62,204.77,175.0,181.45,318854.784999994
2020-08-20,181.51,186.46,177.01,180.19,164660.42199999394
2020-08-21,180.18,190.31,162.0,169.85,300286.7009999934
2020-08-22,169.45,175.56,159.24,174.21,184949.93099999265
2020-08-23,174.27,176.19,164.27,169.33,137496.09899999175
2020-08-24,169.35,188.61,166.42,181.51,179153.43999999252
2020-08-25,181.55,188.0,160.9,165.69,205381.97099999213
2020-08-26,165.63,185.0,161.84,179.19,182218.01399999266
2020-08-27,179.3,179.67,163.44,171.57,153396.11999999222
2020-08-28,171.59,203.88,169.5,189.29,242018.85999999248
2020-08-29,189.26,200.42,185.0,193.37,165581.3999999919
2020-08-30,193.4,223.65,191.6,216.36,257712.8279999917
2020-08-31,216.43,246.5,206.63,242.26,296918.59399999224
2020-09-01,242.26,272.6,235.65,254.87,441378.67699999094
2020-09-02,254.7,255.66,202.0,224.86,335937.05799999303
2020-09-03,225.06,240.79,180.6,186.7,395160.98999999237
2020-09-04,186.65,201.04,175.7,186.27,315862.39299999323
2020-09-05,186.16,196.81,147.41,157.37,311516.8319999925
2020-09-06,157.59,177.24,144.35,170.51,224874.6619999927
2020-09-07,170.5,179.68,153.01,179.07,199337.8059999939
2020-09-08,179.02,183.77,165.93,173.57,166751.13499999343
2020-09-09,173.56,184.47,167.3,177.36,145260.95899999302
2020-09-10,177.34,185.93,169.66,171.25,132017.6599999937
2020-09-11,171.26,177.47,160.75,172.73,157719.17999999347
2020-09-12,172.69,181.08,168.82,179.99,120622.62599999331
2020-09-13,180.09,184.74,161.28,164.84,150183.16399999347
2020-09-14,165.02,170.52,159.0,165.96,121249.45799999352
2020-09-15,165.95,169.65,152.0,154.49,117091.39299999354
2020-09-16,154.39,154.87,146.78,152.94,125227.07799999333
2020-09-17,153.0,160.92,147.1,157.9,175294.10099999318
2020-09-18,158.02,167.24,150.68,153.77,145885.80499999243
2020-09-19,153.87,156.22,150.61,151.75,99504.82699999172
2020-09-20,151.78,152.7,140.04,144.38,104909.3569999917
2020-09-21,144.41,145.76,124.07,128.26,151348.51999999152
2020-09-22,128.41,145.97,126.9,143.37,150059.77999999118
2020-09-23,143.37,146.69,124.09,127.13,162562.44299999092
2020-09-24,127.18,141.28,125.77,138.49,126896.32499999137
2020-09-25,138.45,143.91,132.88,139.22,135817.22699999105
2020-09-26,139.24,147.24,136.67,143.91,113763.97499999126
2020-09-27,143.88,147.47,135.61,138.84,97790.39799999073
2020-09-28,138.83,141.49,130.06,131.57,155272.78099999082
2020-09-29,131.5,134.57,127.62,132.87,104359.2879999911
2020-09-30,132.87,136.25,130.14,133.61,130330.78099999133
2020-10-01,133.66,140.0,125.0,129.21,130180.98799999173
2020-10-02,129.14,130.76,116.41,120.3,137653.84999999165
2020-10-03,120.3,125.55,119.74,121.3,85915.16299999128
2020-10-04,121.22,122.82,117.0,119.5,95900.64899999139
2020-10-05,119.47,124.56,117.29,122.13,108265.50799999118
2020-10-06,122.08,122.98,101.12,105.56,214254.95499999129
2020-10-07,105.64,111.76,101.3,110.37,219064.19199999163
2020-10-08,110.38,113.88,101.95,108.06,239209.09899999166
2020-10-09,108.07,117.79,103.4,115.4,273955.5969999918
2020-10-10,115.33,119.9,112.25,113.83,185230.1969999927
2020-10-11,113.81,116.95,111.15,115.61,125190.77599999352
2020-10-12,115.63,120.7,112.04,116.78,167438.28099999347
2020-10-13,116.82,119.01,111.6,113.81,129921.47399999334
2020-10-14,113.94,115.26,105.32,107.21,131541.58899999326
2020-10-15,107.29,109.77,104.51,107.01,128158.11999999335
2020-10-16,106.96,107.01,99.12,103.34,120293.34499999315
2020-10-17,103.42,105.75,101.46,103.16,73754.13299999307
2020-10-18,103.19,108.0,102.57,104.83,99015.06899999334
2020-10-19,104.84,105.74,101.46,102.84,80857.00799999316
2020-10-20,102.83,102.89,92.62,94.85,130687.55099999344
2020-10-21,94.87,99.94,92.73,95.47,134488.29499999326
2020-10-22,95.46,103.05,95.42,102.3,139496.83699999418
2020-10-23,102.3,106.48,99.38,103.12,133213.40199999363
2020-10-24,103.12,107.74,101.0,105.19,115879.27499999433
2020-10-25,105.19,105.48,101.09,101.18,98435.2169999942
2020-10-26,101.17,104.5,97.65,99.96,127021.135999994
2020-10-27,99.9,113.7,99.55,108.72,252316.11399999415
2020-10-28,108.69,120.23,104.49,107.71,369126.8639999941
2020-10-29,107.71,111.84,94.0,96.85,259475.34999999366
2020-10-30,96.85,98.91,88.2,92.06,220702.2559999938
2020-10-31,92.06,95.0,89.0,90.77,135432.8389999937
2020-11-01,90.75,96.25,89.29,93.92,102647.93899999358
2020-11-02,93.91,98.98,90.13,91.15,129634.3259999938
2020-11-03,91.1,91.1,80.5,87.49,199495.81599999385
2020-11-04,87.48,88.99,81.3,88.63,160973.26499999405
2020-11-05,88.68,93.67,83.21,90.74,178810.57199999405
2020-11-06,90.75,99.77,88.56,95.78,269849.7769999941
2020-11-07,95.7,111.97,89.32,92.38,485706.64699999365
2020-11-08,92.42,101.07,91.28,97.11,187442.3189999945
2020-11-09,97.11,100.42,93.16,94.72,172016.0949999951
2020-11-10,94.78,105.09,93.78,102.34,194539.4609999954
2020-11-11,102.4,114.0,101.81,103.01,278908.851999996
2020-11-12,103.01,108.38,99.24,104.08,160687.46599999588
2020-11-13,104.13,118.12,103.14,116.67,266142.205999996
2020-11-14,116.83,124.54,107.32,121.57,434881.63099999673
2020-11-15,121.58,130.49,113.51,120.13,366402.6109999969
2020-11-16,120.03,124.92,114.5,120.31,224828.3839999981
2020-11-17,120.34,127.84,118.3,122.93,239190.45899999875
2020-11-18,122.93,126.43,107.07,114.24,282942.07699999894
2020-11-19,114.25,118.72,108.67,113.49,229904.6819999995
2020-11-20,113.48,124.31,113.39,116.38,225173.78299999866
2020-11-21,116.34,129.04,112.57,127.82,301041.2729999995
2020-11-22,127.84,129.69,112.2,117.09,275688.340999999
2020-11-23,117.16,129.88,115.73,125.99,275556.1639999982
2020-11-24,126.0,133.97,120.87,128.17,367964.0789999989
2020-11-25,128.12,140.05,118.99,122.9,321405.80699999817
2020-11-26,122.91,126.0,98.69,106.78,424699.1609999984
2020-11-27,106.8,109.87,99.78,104.31,176883.08199999886
2020-11-28,104.3,109.59,102.15,108.02,124521.91199999892
2020-11-29,108.0,111.47,105.65,110.45,101628.01299999896
2020-11-30,110.54,114.94,109.17,112.17,157924.87199999855
2020-12-01,112.19,118.08,102.74,104.85,258810.74699999887
2020-12-02,104.86,114.76,103.91,113.75,191850.2819999992
2020-12-03,113.72,137.97,112.37,131.62,491294.33999999927
2020-12-04,131.63,147.55,124.6,127.02,730132.6019999988
2020-12-05,127.02,145.0,124.93,143.35,383038.725999998
2020-12-06,143.33,144.0,132.66,137.15,200484.94400000008
2020-12-07,137.12,151.07,134.95,149.75,241335.86400000003
2020-12-08,149.75,179.22,148.85,155.45,967753.2519999979
2020-12-09,155.45,171.37,145.5,164.55,533298.1099999934
2020-12-10,164.55,165.96,147.94,149.24,337368.59299999336
2020-12-11,149.27,150.24,137.41,142.6,331954.8839999935
2020-12-12,142.65,153.44,141.68,144.48,235230.65399999262
2020-12-13,144.43,153.26,140.17,147.14,180631.64999999257
2020-12-14,147.17,159.84,143.59,152.84,281953.13999999256
2020-12-15,152.83,154.01,145.9,149.99,199642.00199999288
2020-12-16,150.02,157.49,147.27,155.61,214922.6919999925
2020-12-17,155.61,178.79,152.19,177.22,368376.7739999932
2020-12-18,177.22,177.91,150.2,160.54,376024.6499999923
2020-12-19,160.51,165.18,154.53,155.77,145444.95399999295
2020-12-20,155.74,162.74,151.32,153.67,149147.63099999257
2020-12-21,153.7,155.6,139.39,141.64,138954.2609999919
2020-12-22,141.64,148.78,135.6,145.11,135153.1109999927
2020-12-23,145.13,148.89,121.75,129.56,175261.05799999277
2020-12-24,129.55,137.64,125.57,136.49,127942.18099999287
2020-12-25,136.47,143.54,133.85,137.46,95324.4599999931
2020-12-26,137.44,138.49,127.67,129.91,107077.99399999321
2020-12-27,129.89,140.38,127.66,131.44,159492.33499999295
2020-12-28,131.38,143.7,129.72,143.55,145363.75099999274
2020-12-29,143.52,146.41,130.0,139.34,204129.82999999277
2020-12-30,139.34,158.49,138.0,156.45,242926.47699999294
2020-12-31,156.33,156.54,142.1,148.77,160806.0309999928
2021-01-01,148.81,154.65,139.34,145.27,194220.84299999304
2021-01-02,145.24,147.53,134.48,136.59,147704.4469999933
2021-01-03,136.59,152.07,135.52,147.4,234155.59099999268
2021-01-04,147.51,162.2,138.23,151.45,345186.5219999916
2021-01-05,151.38,165.99,146.46,161.69,248816.4029999911
2021-01-06,161.66,185.94,159.7,184.36,254715.82699999044
2021-01-07,184.41,192.11,165.33,172.46,325109.7479999905
2021-01-08,172.5,181.75,153.29,165.56,292018.79599998944
2021-01-09,165.47,186.43,161.19,180.46,204162.1749999896
2021-01-10,180.52,209.0,169.68,194.67,341268.7829999896
2021-01-11,194.83,196.82,147.8,168.16,395219.4709999886
2021-01-12,168.27,202.17,161.94,183.59,294987.72999998945
2021-01-13,183.61,218.38,174.39,210.97,263381.59799999103
2021-01-14,211.15,224.99,201.72,214.84,198513.29799999145
2021-01-15,214.74,217.94,186.98,202.18,219933.1839999911
2021-01-16,202.21,220.48,200.0,206.96,172022.69299999162
2021-01-17,206.89,227.66,200.0,216.54,180535.79899999092
2021-01-18,216.53,239.01,207.48,225.96,167823.59799999147
2021-01-19,225.97,235.79,210.36,211.69,146930.83999999132
2021-01-20,211.68,218.17,198.48,212.7,149073.3569999908
2021-01-21,212.75,213.69,174.25,176.42,170970.7099999911
2021-01-22,176.6,208.86,165.18,199.2,177047.4629999912
2021-01-23,199.13,213.31,196.6,206.86,130671.10399999132
2021-01-24,206.99,252.94,205.25,250.35,208210.0789999917
2021-01-25,250.3,258.79,206.17,212.79,242552.07899999165
2021-01-26,212.61,241.91,205.38,237.9,215802.4479999908
2021-01-27,237.97,239.87,209.74,218.9,186606.01399999126
2021-01-28,218.74,268.12,213.85,252.04,193474.97299999153
2021-01-29,252.17,304.12,237.0,295.35,230524.89799999105
2021-01-30,295.4,339.63,278.94,337.99,339525.39199999016
