date,open,high,low,close,volume
2020-02-05,111.29,124.76,110.04,122.94,108596.4280000001
2020-02-06,123.09,125.36,117.15,120.87,52416.41199999987
2020-02-07,120.84,123.38,118.26,118.88,50706.739999999816
2020-02-08,118.88,132.32,113.16,126.64,150490.45399999965
2020-02-09,126.56,131.41,124.0,128.67,58992.75799999993
2020-02-10,128.73,129.18,122.95,127.84,47034.18799999976
2020-02-11,127.88,134.3,124.14,129.83,79948.97799999996
2020-02-12,129.93,137.67,128.94,133.7,94220.5579999997
2020-02-13,133.7,138.74,127.0,131.17,106069.32799999972
2020-02-14,131.2,135.12,128.28,133.53,54395.73799999978
2020-02-15,133.59,133.86,115.0,120.84,69640.73999999982
2020-02-16,120.76,123.65,100.14,110.6,105526.53399999985
2020-02-17,110.73,116.59,101.65,114.66,115379.18699999958
2020-02-18,114.66,117.72,107.11,115.77,75008.23099999974
2020-02-19,115.8,116.02,103.66,104.99,65187.25899999977
2020-02-20,104.99,107.53,99.0,104.89,53050.25599999954
2020-02-21,104.88,110.58,103.05,107.5,77410.4009999995
2020-02-22,107.55,109.49,103.1,103.97,61289.59499999943
2020-02-23,103.93,109.59,103.61,108.23,61684.08699999947
2020-02-24,108.23,109.49,100.01,103.61,81309.88299999917
2020-02-25,103.73,103.88,94.75,95.68,90735.46199999898
2020-02-26,95.64,96.85,78.98,84.29,157302.8959999992
2020-02-27,84.3,93.94,79.34,89.98,142351.53199999948
2020-02-28,89.94,92.71,72.89,88.05,180063.2299999999
2020-02-29,88.09,90.45,85.11,85.36,78033.04399999938
2020-03-01,85.37,90.02,83.27,84.56,97461.34999999966
2020-03-02,84.59,92.08,84.17,90.41,92013.07899999947
2020-03-03,90.42,90.74,87.06,88.55,64028.162999999535
2020-03-04,88.55,90.06,85.33,86.86,60900.424999999545
2020-03-05,86.97,92.67,86.97,89.89,92715.50499999929
2020-03-06,89.9,94.34,89.06,94.11,86195.51799999947
2020-03-07,94.12,94.34,87.53,88.27,56462.44399999947
2020-03-08,88.23,88.23,72.82,73.74,146678.4369999997
2020-03-09,73.81,75.64,67.69,73.65,204023.38899999933
2020-03-10,73.64,76.44,71.45,74.78,107951.3689999991
2020-03-11,74.79,75.45,67.2,72.3,100050.19299999924
2020-03-12,72.3,72.63,41.12,44.14,239175.18699999928
2020-03-13,44.26,53.08,31.18,51.24,285782.8490000002
2020-03-14,51.2,51.2,45.03,45.8,113317.53100000054
2020-03-15,45.9,50.94,45.27,47.22,80726.90000000063
2020-03-16,47.19,47.67,38.37,43.07,130322.23900000093
2020-03-17,43.03,46.72,42.33,45.45,77760.15500000039
2020-03-18,45.45,63.26,44.95,62.62,331305.1000000007
2020-03-19,62.56,70.98,56.44,65.47,402196.0400000005
2020-03-20,65.45,78.0,62.06,71.62,419963.9920000003
2020-03-21,71.64,75.65,67.18,71.25,301245.5060000016
2020-03-22,71.26,73.59,61.6,62.48,214009.95800000173
2020-03-23,62.4,71.41,61.0,70.77,142749.91000000134
2020-03-24,70.77,71.57,67.04,69.45,91218.21800000084
2020-03-25,69.44,70.41,66.01,67.78,89692.93300000094
2020-03-26,67.79,68.8,66.44,68.18,78937.66200000103
2020-03-27,68.18,73.0,66.7,67.36,121461.7880000009
2020-03-28,67.47,67.47,61.85,65.18,113190.12100000127
2020-03-29,65.19,65.69,60.24,60.44,58104.14100000128
2020-03-30,60.4,67.5,60.32,65.79,104377.1190000012
2020-03-31,65.83,66.4,63.87,64.9,61932.79500000148
2020-04-01,64.9,67.05,62.3,65.89,71336.82000000146
2020-04-02,66.03,71.74,65.03,67.62,96934.26700000152
2020-04-03,67.62,70.44,66.23,67.37,96936.6920000018
2020-04-04,67.37,69.5,66.64,68.49,84114.67400000161
2020-04-05,68.5,68.87,65.59,66.75,48829.012000001516
2020-04-06,66.75,73.4,66.75,73.28,102539.8610000016
2020-04-07,73.19,76.23,70.13,72.21,136437.95500000092
2020-04-08,72.23,76.91,71.17,75.64,114749.04600000082
2020-04-09,75.66,84.3,74.05,82.93,228715.54000000082
2020-04-10,82.82,83.32,70.0,73.99,280209.41200000123
2020-04-11,74.01,77.73,73.11,74.98,189622.76500000127
2020-04-12,75.06,78.42,73.0,74.27,164710.41700000007
2020-04-13,74.16,74.19,70.49,73.22,152261.64500000083
2020-04-14,73.22,74.59,0.1,72.39,113670.36200000174
2020-04-15,72.4,73.7,70.12,70.7,49947.928000001215
2020-04-16,70.73,77.47,67.44,76.18,108209.4890000012
2020-04-17,76.26,78.24,74.25,76.3,90672.01700000116
2020-04-18,76.26,80.55,76.1,80.1,110522.42400000147
2020-04-19,80.18,83.63,77.29,80.38,188434.1780000016
2020-04-20,80.38,82.92,72.88,74.39,206843.01500000208
2020-04-21,74.37,76.04,72.91,74.42,116610.34100000198
2020-04-22,74.42,82.14,74.08,80.86,163106.40000000148
2020-04-23,80.86,85.0,78.94,81.37,176565.32100000256
2020-04-24,81.37,83.03,80.57,81.45,74253.64200000325
2020-04-25,81.45,88.39,80.43,85.81,151292.61300000342
2020-04-26,85.85,87.58,82.33,84.09,142647.68700000335
2020-04-27,84.09,84.62,80.1,82.77,153359.2870000033
2020-04-28,82.8,83.38,79.57,82.32,124106.40100000285
2020-04-29,82.34,86.34,82.05,85.53,172140.00500000245
2020-04-30,85.48,88.93,80.41,80.76,271439.8700000019
2020-05-01,80.73,84.19,80.73,82.98,133581.89400000128
2020-05-02,83.0,84.9,81.55,83.47,76181.3090000013
2020-05-03,83.47,84.11,79.62,81.08,96818.83100000142
2020-05-04,81.08,81.21,75.35,79.53,140126.59900000162
2020-05-05,79.53,81.23,77.54,79.35,73235.15900000138
2020-05-06,79.34,81.05,76.56,77.09,75805.00200000104
2020-05-07,77.11,80.11,76.12,78.9,104258.74400000108
