date,open,high,low,close,volume
2020-08-29,1017.5,1096.5,1015.0,1056.0,51097.046999999875
2020-08-30,1056.0,1120.0,1056.0,1085.2,49511.9520000001
2020-08-31,1085.0,1095.2,1050.4,1061.2,36092.461999999956
2020-09-01,1062.5,1125.8,1035.7,1080.7,48126.38399999987
2020-09-02,1081.1,1093.9,930.0,992.7,63481.97499999992
2020-09-03,993.1,1005.2,742.5,788.5,84816.52999999977
2020-09-04,788.4,853.5,743.9,833.3,72577.92800000026
2020-09-05,833.3,857.2,615.6,690.5,77342.90499999994
2020-09-06,691.8,800.4,623.2,773.4,71609.02600000016
2020-09-07,774.7,788.6,670.9,758.2,67038.49399999995
2020-09-08,758.2,769.3,685.9,716.0,56557.75799999963
2020-09-09,716.0,799.1,693.8,780.8,44378.72399999972
2020-09-10,780.8,837.3,779.9,805.2,65225.037999999695
2020-09-11,805.6,825.6,764.7,823.3,63569.77799999973
2020-09-12,823.3,891.4,806.2,888.7,64325.70499999977
2020-09-13,889.4,889.7,766.7,808.0,59410.48899999966
2020-09-14,808.2,837.0,772.1,814.3,55174.02499999966
2020-09-15,813.5,823.2,714.3,719.3,57182.01299999974
2020-09-16,718.7,728.0,675.9,708.5,59846.764999999534
2020-09-17,708.3,753.0,674.9,704.8,35735.71899999957
2020-09-18,704.4,725.1,665.0,684.8,19463.277999999587
2020-09-19,684.7,692.0,665.0,686.4,17871.662999999484
2020-09-20,686.0,696.2,625.5,642.2,16742.95499999947
2020-09-21,642.6,649.8,527.3,556.0,38330.81999999943
2020-09-22,556.2,586.5,541.8,578.5,19131.310999999652
2020-09-23,578.0,584.6,504.7,511.4,27858.070999999636
2020-09-24,511.4,591.0,502.1,589.5,26842.084999999643
2020-09-25,589.8,638.3,558.0,616.4,23234.687999999554
2020-09-26,616.5,644.0,605.5,641.6,19582.525999999678
2020-09-27,640.6,655.5,602.3,640.9,18298.344999999685
2020-09-28,641.0,654.1,602.6,612.1,17615.446999999636
2020-09-29,611.3,619.6,572.9,603.8,18271.230999999607
2020-09-30,604.4,606.2,568.2,597.0,13926.829999999558
2020-10-01,597.4,627.5,540.7,587.4,25745.060999999572
2020-10-02,586.8,593.2,509.1,546.0,32860.03899999971
2020-10-03,546.1,560.8,533.7,535.6,11797.974999999755
2020-10-04,535.1,540.0,508.9,530.5,17941.56299999978
2020-10-05,530.5,540.8,510.2,518.8,19204.319999999756
2020-10-06,518.9,520.7,447.1,451.4,27665.22799999975
2020-10-07,451.4,463.4,422.5,462.0,19519.02499999969
2020-10-08,462.3,510.0,423.7,501.9,28013.853999999785
2020-10-09,502.7,555.1,486.2,546.2,28325.452999999736
2020-10-10,545.4,573.0,528.0,534.6,21949.91099999973
2020-10-11,533.8,559.0,515.8,547.6,19382.759999999733
2020-10-12,547.6,584.4,534.0,564.8,23643.446999999676
2020-10-13,564.3,573.4,538.0,549.3,13856.54599999962
2020-10-14,549.4,558.4,510.9,526.4,15406.551999999658
2020-10-15,526.3,530.8,501.0,518.7,15503.604999999614
2020-10-16,518.4,520.8,487.7,492.4,14044.750999999704
2020-10-17,492.7,506.7,482.1,503.8,7849.167999999703
2020-10-18,503.4,527.0,500.9,526.1,5607.807999999719
2020-10-19,526.6,529.0,500.4,503.2,9511.259999999716
2020-10-20,502.8,503.3,456.8,462.4,15260.631999999692
2020-10-21,462.5,499.3,460.7,481.9,17279.500999999702
2020-10-22,481.6,521.5,481.2,512.0,11152.364999999674
2020-10-23,512.3,527.6,495.3,515.9,10093.698999999686
2020-10-24,516.0,529.1,508.0,519.6,8819.88699999969
2020-10-25,518.7,522.8,494.8,500.9,10690.206999999666
2020-10-26,500.8,512.3,462.6,481.7,16323.37299999967
2020-10-27,481.1,507.6,474.5,496.5,11902.090999999686
2020-10-28,496.1,503.0,448.8,462.9,15389.692999999677
2020-10-29,462.2,472.7,427.6,433.9,10625.037999999699
2020-10-30,433.9,438.9,402.8,428.5,18790.227999999697
2020-10-31,428.0,438.4,420.5,422.6,9901.43199999971
2020-11-01,422.0,433.2,412.7,430.0,6243.182999999725
2020-11-02,430.5,443.1,405.4,405.8,13278.586999999672
2020-11-03,405.7,406.4,379.0,391.2,16361.602999999655
2020-11-04,391.5,393.0,361.2,381.7,15096.789999999688
2020-11-05,381.7,417.5,367.5,407.4,21405.523999999692
2020-11-06,407.7,481.3,405.5,479.0,29745.024999999645
2020-11-07,478.5,563.3,456.2,483.2,83209.15599999951
2020-11-08,483.5,537.5,471.2,525.5,39119.37399999965
2020-11-09,525.5,542.2,489.2,516.2,35864.27399999949
2020-11-10,515.9,595.1,505.9,580.8,41649.002999999364
2020-11-11,581.0,597.9,539.3,541.7,28430.633999999493
2020-11-12,542.3,559.7,507.1,524.0,23362.655999999497
2020-11-13,523.7,589.0,521.0,587.2,30009.020999999488
2020-11-14,587.5,590.1,541.8,581.2,27608.168999999518
2020-11-15,581.9,618.7,556.2,582.9,36087.107999999505
2020-11-16,581.9,622.0,570.0,614.2,29446.77099999941
2020-11-17,614.4,681.3,612.7,676.2,36221.32099999931
2020-11-18,676.4,687.2,592.4,650.6,43937.42699999932
2020-11-19,651.2,688.2,620.1,670.1,30307.8709999994
2020-11-20,669.5,732.2,666.4,694.9,30872.18099999943
2020-11-21,695.4,741.2,673.8,723.8,32541.16499999954
2020-11-22,723.7,735.0,641.6,690.3,36417.17799999953
2020-11-23,690.1,733.9,672.5,729.8,29091.403999999537
2020-11-24,730.4,769.8,690.0,719.4,46070.56599999952
2020-11-25,719.4,738.2,642.0,664.2,36084.709999999475
2020-11-26,664.8,680.7,522.3,608.9,71429.17099999958
2020-11-27,609.5,632.5,569.0,601.4,26390.726999999617
2020-11-28,601.2,631.6,582.8,615.4,12955.919999999696
2020-11-29,615.3,639.7,600.8,638.8,11844.095999999685
2020-11-30,639.4,680.0,639.2,672.9,14978.575999999643
2020-12-01,673.6,705.9,622.7,643.4,22250.415999999637
2020-12-02,643.9,717.8,632.1,708.8,18936.68799999965
2020-12-03,708.3,726.1,697.2,724.6,15443.352999999699
2020-12-04,724.4,731.9,641.1,649.1,19881.040999999677
2020-12-05,647.7,694.2,639.3,693.8,14878.453999999732
2020-12-06,694.2,699.6,658.5,685.1,11527.43699999976
2020-12-07,685.6,701.9,674.4,689.5,9224.423999999774
2020-12-08,689.6,697.2,622.0,633.6,17578.81299999974
2020-12-09,633.0,658.0,595.4,649.7,19383.05899999976
2020-12-10,649.8,653.0,607.8,618.3,13218.984999999722
2020-12-11,618.9,622.1,574.2,589.5,13834.992999999755
2020-12-12,589.7,627.0,589.0,619.7,8775.670999999718
2020-12-13,620.1,654.7,610.4,643.7,10316.116999999776
2020-12-14,644.1,657.8,626.5,654.1,9447.359999999779
2020-12-15,654.6,664.6,639.2,649.5,8097.573999999795
2020-12-16,649.1,685.0,629.0,681.4,12967.127999999768
2020-12-17,681.4,713.2,663.0,681.1,21755.690999999853
2020-12-18,682.0,702.4,663.0,695.8,23508.701999999823
2020-12-19,696.0,725.1,688.4,695.4,13289.041999999836
2020-12-20,695.0,703.5,652.1,665.2,17112.592999999844
2020-12-21,665.3,678.1,612.6,627.9,16661.365999999845
2020-12-22,628.3,658.8,595.7,652.1,20476.789999999808
2020-12-23,652.1,658.4,495.8,564.2,25513.56399999989
2020-12-24,563.9,609.2,534.5,608.6,28060.105999999938
2020-12-25,609.3,630.2,584.7,603.3,15681.863999999954
2020-12-26,602.9,607.1,576.4,587.0,11135.29899999994
2020-12-27,586.9,648.4,562.8,611.0,25815.533999999923
2020-12-28,610.7,653.8,603.3,643.1,23073.905999999923
