date,open,high,low,close,volume
2020-09-15,13.997,15.039000000000001,12.837,13.065999999999999,590234.5999999987
2020-09-16,13.04,13.047,11.83,12.584000000000001,295253.5999999974
2020-09-17,12.578,12.88,11.74,12.044,233613.19999999716
2020-09-18,12.061,12.308,10.874,11.232999999999999,224248.9999999973
2020-09-19,11.231,12.241,11.182,11.95,254928.49999999712
2020-09-20,11.932,12.097999999999999,10.038,10.7,334757.59999999753
2020-09-21,10.709000000000001,10.937000000000001,8.417,8.822000000000001,526027.2999999961
2020-09-22,8.824,9.083,8.43,8.715,368537.9999999963
2020-09-23,8.717,9.419,8.241,8.72,591995.7999999949
2020-09-24,8.718,9.25,8.647,9.195,411924.9999999958
2020-09-25,9.208,10.1,9.084,9.923,394922.09999999445
2020-09-26,9.935,10.577,9.866,10.390999999999998,343473.3999999956
2020-09-27,10.390999999999998,10.503,9.631,10.033,242198.3999999949
2020-09-28,10.038,10.561,9.832,10.001,297396.1999999962
2020-09-29,9.985,10.357999999999999,9.925,10.285,248005.499999995
2020-09-30,10.287,10.629000000000001,10.064,10.369000000000002,376314.0999999954
2020-10-01,10.365,10.966,9.987,10.3,504918.4999999958
2020-10-02,10.298,10.322000000000001,8.93,9.405,377392.9999999934
2020-10-03,9.414,9.568,9.008,9.08,200851.59999999305
2020-10-04,9.075,9.302999999999999,8.86,9.033999999999999,231046.099999993
2020-10-05,9.037,9.119,8.07,8.446,472232.79999999335
2020-10-06,8.452,8.487,6.843999999999999,6.916,642663.5999999959
2020-10-07,6.922999999999999,7.731,6.452999999999999,7.724,564308.6999999976
2020-10-08,7.729,7.74,6.97,7.487,555477.4999999991
2020-10-09,7.476,8.15,7.303999999999999,7.903,663225.3999999971
2020-10-10,7.901,8.14,7.7010000000000005,7.774,343405.6999999945
2020-10-11,7.772,8.219,7.542000000000001,8.185,386731.1999999957
2020-10-12,8.187000000000001,8.236,7.796,8.023,414411.89999999537
2020-10-13,8.031,8.174,7.843999999999999,7.946000000000001,287922.3999999946
2020-10-14,7.95,8.19,7.722,7.981,334847.0999999949
2020-10-15,7.986000000000001,7.992000000000001,7.68,7.867999999999999,247157.99999999642
2020-10-16,7.867000000000001,7.886,7.183,7.365,299553.8999999951
2020-10-17,7.356,7.643,7.327999999999999,7.617000000000001,256377.8999999946
2020-10-18,7.615,7.705,7.479,7.59,158669.89999999505
2020-10-19,7.579,7.595,7.24,7.301,201546.6999999953
2020-10-20,7.301,7.334,6.483,7.017,561343.4999999955
2020-10-21,7.013999999999999,7.446000000000001,7.013,7.43,493334.799999995
2020-10-22,7.428,7.827000000000001,7.303,7.702000000000001,247905.69999999483
2020-10-23,7.704,8.82,7.64,8.791,1328635.5999999903
2020-10-24,8.776,9.551,8.584,8.758,2114657.199999993
2020-10-25,8.758,9.646,8.265,9.255,1199687.1999999948
2020-10-26,9.251,9.531,8.42,8.626,881719.1999999923
2020-10-27,8.622,8.796,8.352,8.592,626005.5999999949
2020-10-28,8.597999999999999,8.711,7.718999999999999,7.858,752813.1999999926
2020-10-29,7.853,8.044,7.07,7.385,626505.1999999938
2020-10-30,7.395,7.718999999999999,7.191,7.635,597569.2999999935
2020-10-31,7.625,7.682,7.187,7.3389999999999995,369465.0999999931
2020-11-01,7.332999999999999,7.836,7.2620000000000005,7.687,378367.1999999929
2020-11-02,7.687,7.779,7.254,7.312,432219.09999999404
2020-11-03,7.311,7.442,7.157,7.267,407380.0999999926
2020-11-04,7.271,7.297999999999999,6.973,7.175,459074.1999999928
2020-11-05,7.178999999999999,7.545,6.996,7.3839999999999995,480045.1999999932
2020-11-06,7.382999999999999,8.457,7.372999999999999,8.394,709359.4999999944
2020-11-07,8.399,8.621,7.56,7.861000000000001,1228849.3999999943
2020-11-08,7.859,8.436,7.7589999999999995,8.347000000000001,608079.4999999915
2020-11-09,8.35,8.439,7.928,8.136000000000001,508516.4999999897
2020-11-10,8.14,8.7,8.068999999999999,8.603,620843.4999999881
2020-11-11,8.607000000000001,8.839,7.78,7.803999999999999,666478.7999999906
2020-11-12,7.797000000000001,7.895,7.377000000000001,7.506,367901.8999999908
2020-11-13,7.5120000000000005,7.879,7.477,7.797000000000001,364805.99999999057
2020-11-14,7.792000000000001,7.81,7.305,7.486000000000001,416160.69999999006
2020-11-15,7.5,7.752999999999999,7.382999999999999,7.597,438803.59999999043
2020-11-16,7.5889999999999995,7.944,7.5089999999999995,7.729,483996.89999999123
2020-11-17,7.722,8.025,7.689,7.8870000000000005,641055.8999999918
2020-11-18,7.8870000000000005,7.9670000000000005,7.103,7.494,718971.3999999888
2020-11-19,7.5,7.706,7.245,7.617999999999999,475746.0999999873
2020-11-20,7.617999999999999,8.057,7.502000000000001,7.647,518117.799999988
2020-11-21,7.648,8.536,7.605,8.277000000000001,1139164.9999999881
2020-11-22,8.279,8.412,7.607,8.052,1094833.6999999955
2020-11-23,8.051,9.31,7.952999999999999,9.124,1575637.5999999947
2020-11-24,9.121,9.413,8.5,9.081,1478334.999999994
2020-11-25,9.08,10.374,8.732999999999999,9.692,2010472.2999999938
2020-11-26,9.693999999999999,10.05,8.214,9.134,2208200.799999993
2020-11-27,9.142000000000001,9.222999999999999,8.594,8.862,642144.69999999
2020-11-28,8.861,9.033999999999999,8.545,8.796,475250.7999999903
2020-11-29,8.801,9.132,8.645,8.949,452443.79999999184
2020-11-30,8.952,9.346,8.755,9.206,550418.1999999919
2020-12-01,9.212,9.583,8.707,9.302,1185387.7999999921
2020-12-02,9.304,11.937000000000001,9.172,11.575,1983428.999999989
2020-12-03,11.582,13.321,11.575,13.085999999999999,3996913.1999999983
2020-12-04,13.08,13.832,11.325,12.127,3152437.399999997
2020-12-05,12.107999999999999,14.5,11.852,13.939,3251641.4
2020-12-06,13.937000000000001,13.992,12.905,13.718,1434591.400000009
2020-12-07,13.727,13.9,12.83,13.147,876059.9000000042
2020-12-08,13.140999999999998,13.186,12.241,12.532,852348.5000000051
2020-12-09,12.539000000000001,14.59,12.398,13.993,1826449.5000000058
2020-12-10,13.989,14.6,13.559000000000001,13.764000000000001,1286741.3000000075
2020-12-11,13.776,15.3,13.123,14.755999999999998,2244210.3000000087
