date,open,high,low,close,volume
2020-01-18,2.696,2.799,2.56,2.7739999999999996,7920982.409999999
2020-01-19,2.7769999999999997,2.8539999999999996,2.519,2.623,9414962.399999985
2020-01-20,2.623,2.745,2.544,2.695,7244721.519999948
2020-01-21,2.694,2.745,2.5610000000000004,2.673,5857502.0199999595
2020-01-22,2.675,2.694,2.6260000000000003,2.654,3308776.349999957
2020-01-23,2.656,2.659,2.43,2.471,5259106.639999965
2020-01-24,2.47,2.542,2.35,2.504,3786409.709999968
2020-01-25,2.506,2.515,2.436,2.448,2024211.399999963
2020-01-26,2.449,2.582,2.4290000000000003,2.575,1798455.4699999613
2020-01-27,2.5789999999999997,2.6830000000000003,2.5610000000000004,2.608,3819200.889999965
2020-01-28,2.61,2.678,2.588,2.656,3230957.4299999587
2020-01-29,2.659,2.839,2.6439999999999997,2.781,5033997.709999961
2020-01-30,2.781,2.95,2.7060000000000004,2.9139999999999997,6791645.619999965
2020-01-31,2.917,2.929,2.762,2.825,3932003.5999999437
2020-02-01,2.83,2.888,2.737,2.841,2911735.1099999445
2020-02-02,2.84,2.8939999999999997,2.737,2.832,3802570.9699999467
2020-02-03,2.832,2.884,2.747,2.782,3581271.519999949
2020-02-04,2.78,2.806,2.676,2.741,4986574.629999958
2020-02-05,2.7430000000000003,2.891,2.7319999999999998,2.843,6672109.529999947
2020-02-06,2.843,2.97,2.7939999999999996,2.9019999999999997,6810869.819999962
2020-02-07,2.9019999999999997,3.365,2.9,3.3110000000000004,21498629.64999996
2020-02-08,3.31,3.48,3.11,3.42,13960201.729999945
2020-02-09,3.4189999999999996,3.525,3.2319999999999998,3.5039999999999996,10618619.749999909
2020-02-10,3.503,3.511,3.272,3.388,12794908.319999924
2020-02-11,3.389,3.9989999999999997,3.353,3.989,20242362.24999994
2020-02-12,3.992,4.2,3.861,3.988,21463540.019999903
2020-02-13,3.9960000000000004,4.141,3.6689999999999996,3.878,15384991.479999924
2020-02-14,3.877,4.494,3.7969999999999997,4.43,16408846.629999898
2020-02-15,4.434,4.632,4.05,4.328,25198236.74999988
2020-02-16,4.327,4.8839999999999995,4.0,4.454,36234506.949999824
2020-02-17,4.45,4.567,3.8539999999999996,4.302,29599801.049999755
2020-02-18,4.308,4.656000000000001,4.138999999999999,4.564,22201270.679999694
2020-02-19,4.56,4.869,4.172,4.386,22940583.80999971
2020-02-20,4.386,4.481,4.066,4.2669999999999995,17990206.449999716
2020-02-21,4.268,4.51,4.18,4.275,14439042.629999734
2020-02-22,4.276,4.348,4.052,4.105,13391901.759999786
2020-02-23,4.105,4.378,4.072,4.236000000000001,12543473.129999738
2020-02-24,4.239,4.295,3.801,3.923,17653202.979999788
2020-02-25,3.923,3.964,3.478,3.491,21775940.00999974
2020-02-26,3.49,3.85,3.312,3.5639999999999996,33762852.06999974
2020-02-27,3.5639999999999996,4.1160000000000005,3.41,3.9560000000000004,28829556.629999712
2020-02-28,3.9560000000000004,4.246,3.736,4.1610000000000005,29404884.639999717
2020-02-29,4.1610000000000005,4.3469999999999995,4.052,4.062,24864103.86999975
2020-03-01,4.056,4.24,3.7560000000000002,3.858,27557121.229999676
2020-03-02,3.862,4.327,3.8160000000000003,4.242,25221263.829999704
2020-03-03,4.242,4.68,4.131,4.591,31643156.839999713
2020-03-04,4.591,4.953,4.535,4.635,41814186.9099998
2020-03-05,4.6339999999999995,4.9,4.617,4.707,27195074.18999975
2020-03-06,4.71,4.748,4.538,4.683,22760436.869999785
2020-03-07,4.683,4.688,4.31,4.342,23882647.149999756
2020-03-08,4.342,4.398,3.8339999999999996,4.059,48713759.72999977
2020-03-09,4.059,4.371,3.6,4.12,62199105.64999969
2020-03-10,4.12,4.2,3.9130000000000003,4.08,36483260.50999981
2020-03-11,4.079,4.109,3.55,3.815,36061699.629999645
2020-03-12,3.8110000000000004,3.85,1.75,1.993,98883403.14999953
2020-03-13,1.99,2.747,1.364,2.426,74680139.43999977
2020-03-14,2.427,2.5140000000000002,2.051,2.129,32328472.459999535
2020-03-15,2.128,2.401,2.005,2.086,29040023.129999556
2020-03-16,2.086,2.086,1.53,1.785,63189586.37999942
2020-03-17,1.7830000000000001,2.0709999999999997,1.7280000000000002,1.861,39254830.13999937
2020-03-18,1.861,1.96,1.756,1.9480000000000002,29145064.609999385
2020-03-19,1.949,2.385,1.885,2.241,38627307.19999943
2020-03-20,2.241,2.6289999999999996,2.01,2.26,46646667.18999946
2020-03-21,2.26,2.376,2.1,2.28,21055692.27999938
2020-03-22,2.281,2.33,1.925,1.9809999999999999,20421362.32999951
2020-03-23,1.984,2.283,1.926,2.245,24657741.049999423
2020-03-24,2.246,2.373,2.19,2.311,19501709.489999425
2020-03-25,2.31,2.352,2.1790000000000003,2.254,14112900.809999473
2020-03-26,2.256,2.313,2.202,2.313,8489670.499999454
2020-03-27,2.311,2.362,2.1,2.131,8416287.769999461
2020-03-28,2.131,2.151,2.0380000000000003,2.131,13925185.399999427
2020-03-29,2.13,2.147,2.002,2.006,8981680.129999446
2020-03-30,2.006,2.197,2.002,2.134,11279154.929999452
2020-03-31,2.133,2.3,2.108,2.259,10171831.549999429
2020-04-01,2.261,2.31,2.142,2.276,18447514.129999485
2020-04-02,2.276,2.456,2.256,2.294,19283942.91999948
2020-04-03,2.293,2.384,2.267,2.301,9692728.909999533
2020-04-04,2.3,2.342,2.253,2.315,7908413.2399995355
2020-04-05,2.316,2.323,2.242,2.2640000000000002,4956710.64999953
2020-04-06,2.2640000000000002,2.5639999999999996,2.2640000000000002,2.55,13785765.669999566
2020-04-07,2.55,2.911,2.5469999999999997,2.7289999999999996,43008269.79999972
2020-04-08,2.73,3.27,2.7089999999999996,3.1710000000000003,42479244.46999968
2020-04-09,3.17,3.48,3.122,3.313,61252280.709999844
2020-04-10,3.312,3.324,2.9410000000000003,3.22,70479253.58999987
2020-04-11,3.218,3.4339999999999997,3.06,3.286,64624324.33000003
2020-04-12,3.286,3.638,3.165,3.4139999999999997,67755148.32999991
2020-04-13,3.411,3.4589999999999996,3.185,3.365,58635180.469999656
