date,open,high,low,close,volume
2021-04-01,5.9566,6.3949,5.5386,5.5661,9093496.0
2021-04-02,5.5674,5.569,5.0384,5.1322,6860573.0
2021-04-03,5.1398,6.8226,5.0519,6.6871,15056630.0
2021-04-04,6.7103,6.9687,5.8394,6.8858,15692999.0
2021-04-05,6.8861,6.9,5.5718,5.6179,6779281.0
2021-04-06,5.6179,5.7657,4.8715,5.2124,9580290.0
2021-04-07,5.2158,5.3532,4.0,4.3989,12145711.0
2021-04-08,4.4,5.3,4.3256,5.1597,8125738.0
2021-04-09,5.1534,5.4027,4.9266,5.3091,3780982.0
2021-04-10,5.3031,5.3102,4.75,4.936,2497402.0
2021-04-11,4.9324,4.9535,4.513,4.6953,2038415.0
2021-04-12,4.7018,5.5938,4.6571,4.8878,8878219.0
2021-04-13,4.8889,4.9219,4.6529,4.855,3231179.0
2021-04-14,4.8668,4.8773,4.1803,4.5864,4623664.0
2021-04-15,4.5897,4.8096,4.4213,4.7212,3282194.0
2021-04-16,4.7337,4.7387,4.1,4.2803,4285379.0
2021-04-17,4.2871,4.5597,4.1192,4.2682,5754943.0
2021-04-18,4.2698,4.2803,2.8811,3.6182,6515962.0
2021-04-19,3.62,4.7141,3.4136,3.681,16555480.0
2021-04-20,3.6713,4.1871,3.1684,3.7274,9614878.0
2021-04-21,3.7234,5.6,3.6156,4.5498,56564027.0
2021-04-22,4.5488,4.5888,3.5,3.6454,27702295.0
2021-04-23,3.6421,3.7342,2.4784,3.3896,27156456.0
2021-04-24,3.3789,3.4279,2.9708,3.0685,9263727.0
2021-04-25,3.0652,3.839,2.9529,3.2369,16315915.0
2021-04-26,3.2363,3.714,3.1512,3.714,6884167.0
2021-04-27,3.714,3.989,3.6308,3.9649,6566002.0
2021-04-28,3.9698,4.3435,3.61,3.8711,7651407.0
2021-04-29,3.8687,4.1018,3.7466,3.9078,6410869.0
2021-04-30,3.9093,4.0608,3.7944,4.0373,4562157.0
2021-05-01,4.0417,4.1749,3.7961,4.0845,5990729.0
2021-05-02,4.0903,4.1483,3.7434,4.0108,5385063.0
2021-05-03,4.0108,4.944,3.9859,4.2503,18625679.0
2021-05-04,4.2466,4.3032,3.6962,3.711,10754731.0
2021-05-05,3.7071,4.0,3.6155,3.9819,6709671.0
2021-05-06,3.9819,4.0783,3.6684,3.8447,6870178.0
2021-05-07,3.8478,4.425,3.6131,4.0109,11018991.0
2021-05-08,4.0111,4.553,3.9001,4.191,13526754.0
2021-05-09,4.1916,4.2752,3.716,3.9679,7040134.0
2021-05-10,3.9695,4.4329,3.33,3.6256,11717704.0
2021-05-11,3.6228,3.9946,3.6191,3.9021,6517108.0
2021-05-12,3.9029,4.0788,3.1652,3.2367,4759866.0
2021-05-13,3.2297,3.5213,3.0234,3.2957,5393156.0
2021-05-14,3.2964,3.555,3.2305,3.4463,3078833.0
2021-05-15,3.443,3.5957,3.0645,3.1274,3516682.0
2021-05-16,3.1273,3.5481,2.9389,3.4047,6172643.0
2021-05-17,3.3976,3.4035,2.8156,2.9908,6782703.0
2021-05-18,2.9897,3.2902,2.9522,3.1105,4841808.0
2021-05-19,3.1124,3.4686,1.4485,2.1011,18378938.0
2021-05-20,2.094,2.6651,2.004,2.5821,8851300.0
2021-05-21,2.5813,3.0052,2.0755,2.5976,12940836.0
2021-05-22,2.5899,2.9673,2.3124,2.5866,12775523.0
