date,open,high,low,close,volume
2021-10-22,1.1507,1.1829,1.0875,1.1262,15121262.099999798
2021-10-23,1.1266,1.1835,1.1078,1.1544,19312671.199999943
2021-10-24,1.1542,1.1583,1.0729,1.1039,9571585.20000001
2021-10-25,1.1041,1.1283,1.0854,1.1193,11429383.799999993
2021-10-26,1.1197,1.1539,1.093,1.1114,35324009.199999966
2021-10-27,1.1115,1.1479,0.8714,0.9325,56700939.59999997
2021-10-28,0.9327,0.958,0.8825,0.9578,35423626.59999978
2021-10-29,0.9578,0.9748,0.9261,0.9441,19304831.799999837
2021-10-30,0.9447,1.157,0.94,0.9854,137838123.2
2021-10-31,0.9842,1.0381,0.885,0.9359,51493899.79999984
2021-11-01,0.9359,0.9366,0.8599,0.9091,27538252.799999684
2021-11-02,0.9087,0.951,0.89,0.9358,46449056.499999605
2021-11-03,0.9361,0.9415,0.8567,0.9142,30467120.299999636
2021-11-04,0.9149,0.9693,0.9,0.9479,45474024.2999998
2021-11-05,0.9479,0.9487,0.9066,0.9188,20667047.499999657
2021-11-06,0.9184,0.9509,0.8916,0.9316,18440492.09999971
2021-11-07,0.9325,0.9382,0.9086,0.9205,12591134.299999658
2021-11-08,0.9205,0.9239,0.9,0.9173,13736746.799999686
2021-11-09,0.917,0.92,0.8937,0.8982,17332131.89999961
2021-11-10,0.8981,0.9274,0.7828,0.8535,28957566.899999604
2021-11-11,0.8535,0.885,0.8321,0.8711,13495727.499999577
2021-11-12,0.8713,0.8761,0.833,0.8576,12168915.49999956
2021-11-13,0.8577,1.2045,0.85,1.1237,298927479.89999986
2021-11-14,1.1224,1.2726,1.0088,1.04,524661991.0999988
2021-11-15,1.04,1.0619,0.9509,0.9603,80291345.39999767
2021-11-16,0.9598,0.9612,0.8013,0.8815,66132135.89999723
2021-11-17,0.882,0.9278,0.8312,0.8988,46310476.69999731
2021-11-18,0.8989,0.923,0.7849,0.8095,36281475.899997376
2021-11-19,0.81,0.8654,0.7842,0.8469,39724137.99999724
2021-11-20,0.8473,0.9608,0.8373,0.9,87831752.19999732
2021-11-21,0.8999,0.9467,0.8868,0.8887,50595855.69999752
2021-11-22,0.8891,0.8958,0.8211,0.8356,26580213.399997614
2021-11-23,0.836,0.8594,0.8143,0.8481,24292725.299997535
2021-11-24,0.8483,0.85,0.7929,0.824,19127305.799997468
2021-11-25,0.8233,0.8459,0.8109,0.8336,22966356.799997613
2021-11-26,0.8339,0.8871,0.7404,0.7946,54135033.39999768
2021-11-27,0.7944,1.1665,0.7872,0.9921,545694754.6999985
