date,open,high,low,close,volume
2020-02-12,0.9775,1.07,0.9758,1.0367,9102630.50000003
2020-02-13,1.0377,1.0896,0.9563,1.0247,7088374.10000006
2020-02-14,1.0252,1.074,0.9996,1.0733,4313761.800000049
2020-02-15,1.0732,1.1,0.9355,0.9606,6931776.100000035
2020-02-16,0.9603,1.0057,0.8101,0.9042,8612742.70000004
2020-02-17,0.903,0.9128,0.8048,0.881,7351908.000000064
2020-02-18,0.8826,0.9434,0.8348,0.9244,5053856.800000041
2020-02-19,0.9246,0.9389,0.8214,0.8517,4438796.600000051
2020-02-20,0.851,0.8654,0.7919,0.8307,5410128.500000052
2020-02-21,0.8307,0.8765,0.8221,0.8541,3307199.90000006
2020-02-22,0.8542,0.8607,0.8223,0.8459,2587567.500000066
2020-02-23,0.8459,0.898,0.845,0.8937,3254425.7000000626
2020-02-24,0.8938,0.8989,0.8281,0.8603,3975292.1000000695
2020-02-25,0.8602,0.8628,0.7663,0.7795,3134892.4000000604
2020-02-26,0.7785,0.7865,0.6559,0.684,4857552.000000071
2020-02-27,0.684,0.7269,0.6452,0.7032,3901124.500000081
2020-02-28,0.703,0.722,0.6547,0.6918,4117951.700000083
2020-02-29,0.6923,0.71,0.6657,0.6671,2681756.1000000737
2020-03-01,0.6671,0.7104,0.6663,0.683,3426904.9000000837
2020-03-02,0.6822,0.7378,0.6796,0.7245,2893419.5000000848
2020-03-03,0.7248,0.7271,0.6943,0.7044,2561960.200000088
2020-03-04,0.7047,0.7223,0.7,0.7173,1594584.4000000875
2020-03-05,0.7178,0.7467,0.7177,0.731,2781724.8000000883
2020-03-06,0.7315,0.7441,0.7189,0.7431,2281328.700000079
2020-03-07,0.7432,0.767,0.7155,0.72,4389458.500000078
2020-03-08,0.7199,0.7199,0.5994,0.6051,3986705.3000000846
2020-03-09,0.6062,0.621,0.54,0.5889,4225988.300000077
2020-03-10,0.5884,0.6061,0.5724,0.5915,3753579.0000000843
2020-03-11,0.5916,0.5964,0.5377,0.5776,3787553.700000087
2020-03-12,0.5776,0.5805,0.2839,0.3052,12922482.300000118
2020-03-13,0.3043,0.3773,0.2092,0.3456,21643285.90000011
2020-03-14,0.3458,0.3542,0.3199,0.3291,8840956.200000111
2020-03-15,0.3291,0.3725,0.3248,0.347,8895541.300000098
2020-03-16,0.3469,0.3521,0.2764,0.3087,13698539.000000104
2020-03-17,0.3087,0.337,0.3051,0.3262,4279393.300000124
2020-03-18,0.3264,0.3336,0.3095,0.3322,3207137.700000123
2020-03-19,0.3327,0.3972,0.3305,0.378,4984057.7000001175
2020-03-20,0.378,0.428,0.3414,0.378,6835136.200000118
2020-03-21,0.3783,0.3872,0.3517,0.373,3608400.000000127
2020-03-22,0.3728,0.4006,0.3429,0.3456,3695309.500000116
2020-03-23,0.3452,0.3797,0.3387,0.3734,2811408.800000118
2020-03-24,0.3734,0.3957,0.3657,0.3871,3168228.7000001236
2020-03-25,0.3871,0.3873,0.3618,0.3727,3013552.5000001164
2020-03-26,0.3727,0.3866,0.3635,0.3848,2116607.9000001224
2020-03-27,0.3849,0.3904,0.3588,0.3637,2937006.7000001147
2020-03-28,0.3636,0.3702,0.3446,0.3619,3045406.1000001105
2020-03-29,0.3617,0.3637,0.3443,0.3464,1749011.1000001128
2020-03-30,0.3462,0.3748,0.3462,0.3662,2255984.2000001115
2020-03-31,0.3663,0.3762,0.3612,0.37,1793878.5000001118
2020-04-01,0.37,0.3759,0.3552,0.3722,2308786.6000001137
2020-04-02,0.3721,0.4004,0.37,0.3787,3746252.1000001137
2020-04-03,0.3784,0.3891,0.3739,0.3822,2519201.6000001193
2020-04-04,0.3824,0.4001,0.3755,0.3924,3104414.100000118
2020-04-05,0.3927,0.3968,0.3787,0.3821,2209888.5000001173
2020-04-06,0.3818,0.4361,0.3818,0.4354,4474945.700000128
2020-04-07,0.4351,0.4452,0.4056,0.4219,5636820.800000125
2020-04-08,0.4221,0.4573,0.4151,0.4522,4644274.800000119
2020-04-09,0.4523,0.4691,0.4327,0.4486,4990756.600000126
2020-04-10,0.4482,0.4489,0.3878,0.4008,7487855.300000129
2020-04-11,0.401,0.4137,0.3924,0.4037,5193266.5000001155
2020-04-12,0.4036,0.4214,0.3954,0.4022,4528921.600000129
2020-04-13,0.4025,0.4025,0.3795,0.3881,6938213.600000116
2020-04-14,0.3878,0.3957,0.3806,0.3876,4880557.700000135
2020-04-15,0.3874,0.3985,0.379,0.3802,5739656.200000124
2020-04-16,0.3801,0.4204,0.3675,0.4116,11298111.20000013
2020-04-17,0.412,0.4143,0.4023,0.4057,6095470.300000112
2020-04-18,0.4055,0.4302,0.4051,0.4229,7353354.100000117
2020-04-19,0.4229,0.4253,0.4055,0.4101,8288077.300000118
2020-04-20,0.4099,0.4243,0.3941,0.3976,15902902.200000122
2020-04-21,0.3973,0.4061,0.3928,0.3961,10661167.000000121
2020-04-22,0.396,0.4192,0.3921,0.4136,8845634.200000117
2020-04-23,0.4139,0.4388,0.409,0.4263,7017747.400000128
2020-04-24,0.4262,0.4657,0.4248,0.4515,12980593.00000012
2020-04-25,0.4516,0.4848,0.4441,0.4611,14256754.20000013
2020-04-26,0.461,0.4996,0.4576,0.4932,17785964.500000164
2020-04-27,0.4932,0.4981,0.4507,0.4732,13728336.400000144
2020-04-28,0.4731,0.495,0.4581,0.4882,11921243.700000105
2020-04-29,0.4885,0.5276,0.4809,0.5182,20016049.500000097
2020-04-30,0.5182,0.5373,0.4708,0.4889,18784129.40000023
2020-05-01,0.4884,0.5159,0.4875,0.5015,11750022.000000292
2020-05-02,0.5017,0.5098,0.49,0.5077,7745606.300000293
2020-05-03,0.5074,0.5158,0.477,0.4876,9120151.000000264
2020-05-04,0.4878,0.4908,0.447,0.4799,13271702.400000254
2020-05-05,0.4799,0.4896,0.4683,0.4755,6843446.500000271
2020-05-06,0.4752,0.4899,0.4552,0.4584,5043327.2000002265
2020-05-07,0.4582,0.4893,0.453,0.4807,8280269.70000027
2020-05-08,0.4809,0.53,0.4715,0.5168,11450033.200000264
2020-05-09,0.5165,0.5369,0.4908,0.4924,12442681.900000285
2020-05-10,0.4924,0.4926,0.405,0.4645,23537134.800000228
2020-05-11,0.4642,0.4737,0.425,0.4507,12816444.000000209
2020-05-12,0.4501,0.4671,0.4481,0.4637,6838583.800000242
2020-05-13,0.4637,0.4766,0.4572,0.4663,5723717.500000262
2020-05-14,0.4665,0.4825,0.4579,0.4771,6599413.100000254
2020-05-15,0.4772,0.4876,0.4622,0.4671,8040391.300000241
2020-05-16,0.4667,0.4754,0.4629,0.4689,5364898.500000235
2020-05-17,0.4687,0.484,0.467,0.4702,3840690.7000002223
2020-05-18,0.4701,0.4925,0.4683,0.4828,4841628.10000022
2020-05-19,0.4829,0.4849,0.4685,0.4845,4626758.5000002235
2020-05-20,0.4846,0.5065,0.4735,0.4919,9990117.00000022
2020-05-21,0.492,0.4984,0.45,0.4632,10820476.100000165
2020-05-22,0.4633,0.532,0.4557,0.5158,19539302.600000195
2020-05-23,0.5158,0.5225,0.4986,0.501,11059337.600000132
2020-05-24,0.5009,0.512,0.4656,0.4672,12288945.200000107
