date,open,high,low,close,volume
2020-02-21,2.391,2.475,2.359,2.416,345033.4000000004
2020-02-22,2.419,2.437,2.344,2.391,315412.2999999996
2020-02-23,2.3930000000000002,2.508,2.391,2.5,375696.39999999973
2020-02-24,2.491,2.504,2.278,2.36,501921.0999999997
2020-02-25,2.3609999999999998,2.6210000000000004,2.316,2.383,2226704.5000000014
2020-02-26,2.3819999999999997,2.424,2.036,2.1,1055693.9999999953
2020-02-27,2.097,2.225,2.0,2.123,559690.4999999935
2020-02-28,2.124,2.175,1.9969999999999999,2.0780000000000003,656373.7999999945
2020-02-29,2.0780000000000003,2.124,2.024,2.03,322000.39999999444
2020-03-01,2.031,2.101,1.984,2.03,362847.4999999952
2020-03-02,2.029,2.218,2.016,2.1830000000000003,547744.4999999935
2020-03-03,2.184,2.185,2.094,2.149,352719.4999999954
2020-03-04,2.149,2.18,2.0869999999999997,2.157,394039.0999999957
2020-03-05,2.156,2.255,2.151,2.1959999999999997,665387.4999999952
2020-03-06,2.1959999999999997,2.319,2.181,2.316,856845.4999999945
2020-03-07,2.319,2.334,2.19,2.213,534722.1999999904
2020-03-08,2.209,2.209,1.867,1.8969999999999998,925338.6999999937
2020-03-09,1.8969999999999998,1.97,1.805,1.945,1067786.8999999964
2020-03-10,1.943,1.98,1.874,1.956,758977.7999999967
2020-03-11,1.9569999999999999,1.973,1.817,1.945,952456.5999999954
2020-03-12,1.945,1.956,0.977,1.034,2185080.3999999906
2020-03-13,1.036,1.3230000000000002,0.728,1.254,1629355.6999999876
2020-03-14,1.248,1.26,1.145,1.169,1073642.6999999878
2020-03-15,1.168,1.278,1.155,1.204,1009698.8999999863
2020-03-16,1.205,1.208,0.903,1.0390000000000001,1290051.599999986
2020-03-17,1.04,1.151,1.023,1.095,1105453.9999999902
2020-03-18,1.095,1.119,1.013,1.109,1106598.3999999824
2020-03-19,1.107,1.3130000000000002,1.094,1.255,1024810.4999999827
2020-03-20,1.256,1.3730000000000002,1.123,1.229,871622.2999999799
2020-03-21,1.229,1.2819999999999998,1.173,1.23,638884.1999999784
2020-03-22,1.2309999999999999,1.276,1.127,1.143,629463.8999999795
2020-03-23,1.141,1.255,1.126,1.23,592828.2999999798
2020-03-24,1.23,1.291,1.207,1.2690000000000001,686448.2999999829
2020-03-25,1.2690000000000001,1.2770000000000001,1.2,1.26,515030.59999998135
2020-03-26,1.26,1.286,1.219,1.278,511032.39999998047
2020-03-27,1.278,1.291,1.2,1.203,602245.0999999809
2020-03-28,1.203,1.227,1.145,1.21,518103.2999999828
2020-03-29,1.21,1.219,1.133,1.141,361729.59999998315
2020-03-30,1.14,1.226,1.135,1.195,440945.19999998336
2020-03-31,1.198,1.236,1.1840000000000002,1.21,401627.1999999822
2020-04-01,1.21,1.2309999999999999,1.169,1.222,353314.4999999831
2020-04-02,1.2209999999999999,1.3159999999999998,1.216,1.266,432301.9999999837
2020-04-03,1.266,1.3,1.242,1.2670000000000001,370756.89999998244
2020-04-04,1.268,1.3019999999999998,1.2409999999999999,1.2919999999999998,358311.69999998366
2020-04-05,1.291,1.2990000000000002,1.24,1.258,471819.9999999822
2020-04-06,1.256,1.42,1.256,1.416,683097.2999999827
2020-04-07,1.416,1.4480000000000002,1.3430000000000002,1.3730000000000002,1247819.3999999848
2020-04-08,1.3730000000000002,1.506,1.3630000000000002,1.501,1781388.2999999817
2020-04-09,1.501,1.5230000000000001,1.43,1.475,1575365.6999999876
2020-04-10,1.475,1.495,1.285,1.339,1501421.7999999868
2020-04-11,1.34,1.379,1.3090000000000002,1.347,954884.6999999859
2020-04-12,1.348,1.419,1.32,1.358,1302669.7999999833
2020-04-13,1.3559999999999999,1.359,1.2890000000000001,1.34,1649447.6999999858
2020-04-14,1.34,1.3619999999999999,1.3159999999999998,1.329,786313.5999999845
2020-04-15,1.33,1.36,1.2890000000000001,1.2930000000000001,925376.0999999822
2020-04-16,1.2919999999999998,1.432,1.258,1.402,2103171.699999979
2020-04-17,1.403,1.409,1.3719999999999999,1.379,764467.8999999817
2020-04-18,1.379,1.45,1.3769999999999998,1.435,777935.2999999822
2020-04-19,1.436,1.439,1.376,1.39,853034.2999999819
2020-04-20,1.39,1.421,1.291,1.3090000000000002,2121182.0999999824
2020-04-21,1.3090000000000002,1.338,1.295,1.314,901234.8999999835
2020-04-22,1.314,1.385,1.306,1.3659999999999999,769520.9999999847
2020-04-23,1.367,1.43,1.335,1.3880000000000001,1185940.6999999895
2020-04-24,1.389,1.464,1.3880000000000001,1.426,1305286.599999986
2020-04-25,1.4269999999999998,1.538,1.4080000000000001,1.484,1906632.5999999854
2020-04-26,1.484,1.564,1.473,1.5330000000000001,1831251.2999999782
2020-04-27,1.535,1.547,1.4480000000000002,1.505,1091025.899999983
2020-04-28,1.506,1.536,1.466,1.526,865270.399999981
2020-04-29,1.525,1.659,1.524,1.633,1849791.999999981
2020-04-30,1.633,1.715,1.5119999999999998,1.538,1829757.5999999759
2020-05-01,1.536,1.642,1.536,1.587,850915.6999999788
2020-05-02,1.587,1.653,1.5830000000000002,1.6469999999999998,924347.2999999787
2020-05-03,1.6469999999999998,1.672,1.5519999999999998,1.587,1123152.0999999768
2020-05-04,1.587,1.595,1.4609999999999999,1.558,1761687.99999998
2020-05-05,1.5590000000000002,1.59,1.5090000000000001,1.544,1883604.9999999795
2020-05-06,1.546,1.5930000000000002,1.483,1.501,1323085.099999977
2020-05-07,1.501,1.6119999999999999,1.479,1.588,1734250.3999999808
2020-05-08,1.589,1.696,1.548,1.6580000000000001,2107785.399999985
2020-05-09,1.6580000000000001,1.7180000000000002,1.579,1.595,3567990.599999996
2020-05-10,1.594,1.595,1.358,1.4409999999999998,4967664.400000005
2020-05-11,1.4409999999999998,1.469,1.348,1.399,2629559.500000011
2020-05-12,1.399,1.479,1.3940000000000001,1.4669999999999999,1667415.4000000083
2020-05-13,1.4669999999999999,1.508,1.455,1.489,1009931.1000000073
2020-05-14,1.4909999999999999,1.54,1.4569999999999999,1.536,1627883.1000000108
2020-05-15,1.538,1.5659999999999998,1.4809999999999999,1.505,1388348.2000000067
2020-05-16,1.505,1.5490000000000002,1.493,1.5390000000000001,713649.0000000051
2020-05-17,1.5390000000000001,1.5819999999999999,1.535,1.546,1000975.0000000071
2020-05-18,1.546,1.608,1.5419999999999998,1.578,1109455.5000000035
2020-05-19,1.58,1.585,1.527,1.5830000000000002,1074218.1000000066
2020-05-20,1.5819999999999999,1.618,1.547,1.577,1254710.5000000028
2020-05-21,1.577,1.5919999999999999,1.455,1.494,1425065.3
2020-05-22,1.494,1.795,1.4809999999999999,1.7630000000000001,6452306.9999999935
2020-05-23,1.7630000000000001,1.778,1.66,1.673,4586464.09999999
2020-05-24,1.671,1.734,1.56,1.5630000000000002,2861813.9999999837
2020-05-25,1.5630000000000002,1.66,1.5519999999999998,1.655,2740568.5999999926
2020-05-26,1.656,1.675,1.578,1.661,3260391.1999999736
2020-05-27,1.661,1.6880000000000002,1.611,1.636,1729063.3999999813
2020-05-28,1.636,1.699,1.617,1.692,1526049.9999999835
2020-05-29,1.689,1.7180000000000002,1.651,1.6880000000000002,1304259.6999999841
2020-05-30,1.6880000000000002,1.8130000000000002,1.6640000000000001,1.805,2279809.199999984
2020-05-31,1.804,1.8419999999999999,1.726,1.7480000000000002,3884053.299999978
2020-06-01,1.7469999999999999,1.911,1.7369999999999999,1.893,5585119.599999953
2020-06-02,1.8940000000000001,1.93,1.58,1.797,4056098.1999999615
2020-06-03,1.795,1.839,1.754,1.834,2239169.7999999695
2020-06-04,1.835,1.879,1.7730000000000001,1.841,2114931.6999999643
2020-06-05,1.841,1.857,1.79,1.797,1742225.9999999616
2020-06-06,1.796,1.858,1.771,1.85,1780745.8999999585
2020-06-07,1.85,1.859,1.744,1.8090000000000002,1650603.2999999614
2020-06-08,1.81,1.84,1.797,1.827,1311061.3999999578
2020-06-09,1.828,1.84,1.795,1.807,1883960.6999999583
2020-06-10,1.805,1.879,1.8030000000000002,1.865,2675358.199999956
2020-06-11,1.8659999999999999,1.9469999999999998,1.65,1.6880000000000002,4778781.399999954
2020-06-12,1.689,1.788,1.666,1.746,1245701.6999999506
2020-06-13,1.746,1.784,1.7080000000000002,1.78,1124718.6999999478
2020-06-14,1.78,1.7819999999999998,1.7009999999999998,1.7209999999999999,1015508.1999999473
2020-06-15,1.722,1.722,1.561,1.6740000000000002,2730249.099999942
2020-06-16,1.6740000000000002,1.742,1.6540000000000001,1.734,1770309.5999999428
2020-06-17,1.734,1.736,1.656,1.709,1034932.2999999458
2020-06-18,1.7069999999999999,1.7169999999999999,1.649,1.681,979660.9999999428
2020-06-19,1.682,1.692,1.6380000000000001,1.6740000000000002,1565261.1999999462
2020-06-20,1.676,1.6840000000000002,1.6269999999999998,1.681,940414.8999999496
2020-06-21,1.681,1.787,1.652,1.729,3802421.3999999557
2020-06-22,1.729,1.8419999999999999,1.724,1.841,4378309.099999979
2020-06-23,1.841,1.851,1.774,1.798,2541506.799999977
2020-06-24,1.796,1.84,1.692,1.736,1927722.0999999703
2020-06-25,1.735,1.74,1.659,1.72,1089116.499999976
2020-06-26,1.72,1.7380000000000002,1.6569999999999998,1.679,1346476.7999999744
2020-06-27,1.679,1.7209999999999999,1.514,1.578,2142444.999999975
2020-06-28,1.578,1.652,1.541,1.6159999999999999,1226081.0999999854
2020-06-29,1.615,1.6909999999999998,1.5930000000000002,1.672,1628256.69999998
2020-06-30,1.672,1.68,1.6230000000000002,1.642,803892.8999999835
2020-07-01,1.643,1.683,1.614,1.659,1072477.699999985
2020-07-02,1.6580000000000001,1.693,1.598,1.649,2668056.39999999
2020-07-03,1.6480000000000001,1.6780000000000002,1.624,1.635,1348184.9999999772
2020-07-04,1.6340000000000001,1.699,1.63,1.696,1476859.1999999788
2020-07-05,1.696,1.788,1.6480000000000001,1.7790000000000001,2176604.8999999766
2020-07-06,1.777,1.8330000000000002,1.75,1.824,2459698.4999999884
2020-07-07,1.824,1.8359999999999999,1.746,1.81,1942449.9999999856
2020-07-08,1.811,2.104,1.784,2.023,7038723.399999998
2020-07-09,2.024,2.175,1.933,2.133,8879960.600000033
2020-07-10,2.133,2.141,1.9509999999999998,2.04,6201903.700000035
2020-07-11,2.041,2.1,2.004,2.081,4101536.500000019
2020-07-12,2.081,2.112,1.964,2.05,2977693.500000025
2020-07-13,2.049,2.2640000000000002,2.033,2.21,7235081.699999996
2020-07-14,2.211,2.39,2.112,2.3480000000000003,10651210.699999968
2020-07-15,2.3480000000000003,2.477,2.279,2.295,8356642.700000003
2020-07-16,2.295,2.34,2.115,2.305,7085451.799999985
2020-07-17,2.307,2.419,2.269,2.392,6711101.899999992
2020-07-18,2.394,2.416,2.31,2.366,4712296.299999997
2020-07-19,2.3680000000000003,2.385,2.292,2.3480000000000003,3229500.5000000177
2020-07-20,2.3480000000000003,2.35,2.207,2.221,3110545.900000006
2020-07-21,2.22,2.362,2.177,2.354,4156091.100000014
2020-07-22,2.353,2.4090000000000003,2.278,2.375,3086267.2000000053
2020-07-23,2.378,2.404,2.334,2.362,3586799.8000000184
2020-07-24,2.362,2.364,2.287,2.293,2289011.300000005
2020-07-25,2.293,2.437,2.291,2.411,3832675.9000000157
2020-07-26,2.4130000000000003,2.491,2.3,2.3609999999999998,5601547.299999999
2020-07-27,2.36,2.374,2.204,2.323,6166566.899999995
2020-07-28,2.324,2.401,2.256,2.379,3914383.599999988
2020-07-29,2.378,2.4530000000000003,2.343,2.354,3234277.7999999863
2020-07-30,2.353,2.4130000000000003,2.3209999999999997,2.375,2265049.8999999743
2020-07-31,2.375,2.444,2.347,2.424,2053128.9999999695
2020-08-01,2.423,2.67,2.399,2.658,5133111.499999988
2020-08-02,2.656,2.7310000000000003,2.23,2.407,8599644.099999985
2020-08-03,2.407,2.7039999999999997,2.377,2.6260000000000003,6932823.799999986
2020-08-04,2.6260000000000003,2.9189999999999996,2.625,2.8510000000000004,8275973.1999999555
2020-08-05,2.852,2.8930000000000002,2.736,2.7760000000000002,3692599.3999999557
2020-08-06,2.7769999999999997,2.8369999999999997,2.6639999999999997,2.766,4863216.099999952
2020-08-07,2.766,2.7910000000000004,2.5140000000000002,2.647,4500615.099999958
2020-08-08,2.647,2.765,2.614,2.76,2035924.399999937
2020-08-09,2.759,2.787,2.633,2.7230000000000003,2501647.59999995
2020-08-10,2.7230000000000003,3.0069999999999997,2.708,2.9330000000000003,6214647.1999999555
2020-08-11,2.9339999999999997,2.98,2.602,2.7289999999999996,4999793.099999964
2020-08-12,2.73,2.8169999999999997,2.5869999999999997,2.802,3759401.69999996
2020-08-13,2.8,2.886,2.634,2.866,4807904.799999961
2020-08-14,2.864,3.195,2.7880000000000003,3.105,11511064.699999955
2020-08-15,3.103,3.228,3.0260000000000002,3.0980000000000003,5688431.799999924
2020-08-16,3.1010000000000004,3.444,2.968,3.346,5989307.799999899
2020-08-17,3.347,3.589,3.272,3.42,7763430.699999888
2020-08-18,3.4219999999999997,3.612,3.2,3.299,5667992.9999999
2020-08-19,3.298,3.5,3.0210000000000004,3.301,8355348.999999888
2020-08-20,3.302,4.165,3.2960000000000003,4.083,15851486.59999989
2020-08-21,4.083,5.517,3.7560000000000002,3.778,34683585.99999992
2020-08-22,3.778,4.33,3.43,4.167,11173234.199999928
2020-08-23,4.167,4.324,3.832,3.9960000000000004,6084846.49999995
2020-08-24,3.997,4.181,3.763,3.826,5947462.699999925
2020-08-25,3.827,3.8819999999999997,3.339,3.49,10549021.69999989
2020-08-26,3.491,4.012,3.437,3.787,8771471.299999898
2020-08-27,3.7889999999999997,3.8789999999999996,3.21,3.373,8155712.899999921
2020-08-28,3.372,3.4739999999999998,3.2939999999999996,3.345,4365200.299999929
2020-08-29,3.347,3.532,3.222,3.4360000000000004,5874294.399999939
2020-08-30,3.4339999999999997,3.679,3.395,3.4560000000000004,5466056.0999999335
2020-08-31,3.4530000000000003,3.5410000000000004,3.345,3.361,4102869.2999999193
2020-09-01,3.361,3.613,3.3,3.523,6868990.89999992
2020-09-02,3.52,3.783,3.0439999999999996,3.242,8406548.699999955
2020-09-03,3.242,3.304,2.155,2.39,9496888.999999963
