date,open,high,low,close,volume
2020-08-01,1.1808,1.2387,1.1242,1.1437,12050419.90000001
2020-08-02,1.1432,1.1633,0.9,1.0882,14280854.099999983
2020-08-03,1.0882,1.129,1.051,1.0715,9708546.400000025
2020-08-04,1.0709,1.2387,1.0679,1.2137,14329527.499999993
2020-08-05,1.2157,1.2678,1.148,1.1727,9448169.700000012
2020-08-06,1.1726,1.4042,1.1714,1.3665,17007182.599999987
2020-08-07,1.367,1.37,1.212,1.2936,13017706.700000007
2020-08-08,1.2932,1.58,1.2792,1.5253,18425573.300000057
2020-08-09,1.525,1.8048,1.4651,1.7213,18989979.299999915
2020-08-10,1.7203,1.7802,1.4807,1.599,19494401.699999966
2020-08-11,1.5992,1.6451,1.35,1.4727,20688639.700000018
2020-08-12,1.4732,1.895,1.4336,1.7857,24126302.69999995
2020-08-13,1.788,2.1658,1.7738,1.8813,28372885.600000028
2020-08-14,1.8853,1.9708,1.8028,1.851,18217488.79999998
2020-08-15,1.8524,2.0814,1.8211,1.8602,18516039.79999997
2020-08-16,1.8602,1.9191,1.7246,1.8767,22381867.399999976
2020-08-17,1.8794,1.9153,1.66,1.7037,25067938.90000001
2020-08-18,1.7017,1.7825,1.499,1.5704,26420416.699999973
2020-08-19,1.5706,1.6356,1.3811,1.4946,29567677.09999993
2020-08-20,1.4948,1.6913,1.4946,1.6865,25065495.00000002
2020-08-21,1.6861,1.757,1.4037,1.4153,25596873.299999967
2020-08-22,1.4156,1.5316,1.35,1.5162,20515306.799999937
2020-08-23,1.5161,1.5984,1.4134,1.5654,18614793.099999957
2020-08-24,1.5672,1.675,1.5176,1.6176,15957948.499999862
2020-08-25,1.6169,1.798,1.47,1.4838,23564947.999999907
2020-08-26,1.484,1.6342,1.4632,1.5821,21666875.199999973
2020-08-27,1.5843,1.6601,1.3682,1.4579,22758882.199999947
2020-08-28,1.4593,1.5176,1.4245,1.4719,16120515.499999993
2020-08-29,1.4716,1.583,1.4651,1.5705,11881374.800000014
2020-08-30,1.5693,1.6848,1.523,1.6284,15494388.800000004
2020-08-31,1.6279,1.7177,1.5808,1.6039,13841467.099999972
2020-09-01,1.6035,1.6274,1.4841,1.4906,15893921.300000004
2020-09-02,1.4911,1.5008,1.25,1.3974,15360818.199999997
2020-09-03,1.398,1.4082,0.9475,1.0517,23109116.09999997
2020-09-04,1.0513,1.1406,0.9501,1.0845,21284298.099999953
2020-09-05,1.0847,1.1848,0.8152,0.9243,23213642.200000018
2020-09-06,0.9259,1.0459,0.8564,0.9959,20045451.599999916
2020-09-07,0.995,1.0086,0.8613,0.9822,17792778.89999998
2020-09-08,0.9822,1.0064,0.8815,0.9081,16825309.600000013
2020-09-09,0.9084,1.0553,0.8833,1.0253,15199665.20000001
2020-09-10,1.0253,1.1179,1.0237,1.0352,15723682.399999984
2020-09-11,1.0352,1.1582,0.9805,1.1338,16837030.800000023
2020-09-12,1.1331,1.211,1.1063,1.1941,16937787.10000003
2020-09-13,1.1952,1.1953,1.094,1.1325,16105441.500000082
2020-09-14,1.1322,1.1343,1.0457,1.108,15517889.600000037
2020-09-15,1.1077,1.14,0.9767,0.9819,14421630.100000015
2020-09-16,0.9816,1.3184,0.9144,1.2039,30424878.400000103
2020-09-17,1.2062,1.3926,1.1391,1.2553,33558014.10000024
2020-09-18,1.2561,1.2752,1.0697,1.0985,19574616.700000294
2020-09-19,1.0989,1.1052,1.0403,1.0533,9772555.50000028
2020-09-20,1.053,1.1063,0.9614,0.9896,10412046.900000243
2020-09-21,0.9904,0.9946,0.8616,0.8863,17610809.600000218
2020-09-22,0.8868,0.987,0.8717,0.9415,17933654.000000305
2020-09-23,0.9421,0.9555,0.817,0.8202,16481474.500000302
2020-09-24,0.8209,0.925,0.8084,0.8866,15525739.600000262
2020-09-25,0.8864,0.9383,0.8393,0.9296,15545847.900000276
2020-09-26,0.9299,0.9823,0.8811,0.9823,15039823.700000288
2020-09-27,0.9806,0.9989,0.8936,0.9549,14543119.70000027
2020-09-28,0.9557,0.9859,0.8807,0.8965,15168312.70000032
2020-09-29,0.8956,0.9521,0.8671,0.9424,14202965.100000283
2020-09-30,0.9418,0.9781,0.8817,0.9042,13821922.200000249
2020-10-01,0.9046,0.9662,0.8702,0.9134,15068251.500000259
2020-10-02,0.9128,0.9192,0.7892,0.8694,16388900.200000258
2020-10-03,0.8695,0.8875,0.8335,0.8365,11045612.800000293
2020-10-04,0.8363,0.8779,0.8263,0.8651,10813714.500000298
2020-10-05,0.8657,0.906,0.8274,0.9005,12683107.900000298
2020-10-06,0.9009,0.9027,0.7639,0.7744,15779151.70000029
2020-10-07,0.7746,0.7968,0.7199,0.7945,15781248.800000308
2020-10-08,0.7945,0.8013,0.7236,0.7896,15198622.600000355
2020-10-09,0.7896,0.841,0.7623,0.832,15850767.200000314
2020-10-10,0.8324,0.9535,0.832,0.9168,18360966.600000303
2020-10-11,0.9166,0.973,0.8968,0.9251,15484394.600000307
2020-10-12,0.9246,0.9671,0.8923,0.9338,14708752.400000313
2020-10-13,0.9338,1.0513,0.9048,1.0392,16359298.700000295
2020-10-14,1.0396,1.0805,0.9363,0.9656,24262830.200000376
2020-10-15,0.9669,0.9669,0.8757,0.8927,19500517.800000355
2020-10-16,0.8927,0.8979,0.8233,0.8335,14837710.80000034
2020-10-17,0.8335,0.8726,0.8146,0.871,13210134.200000405
2020-10-18,0.8712,0.9087,0.8407,0.9054,11430586.000000397
2020-10-19,0.9049,0.9105,0.8513,0.8545,12065537.800000416
2020-10-20,0.8546,0.855,0.7725,0.7842,13284454.000000397
2020-10-21,0.7841,0.8899,0.7813,0.8599,17041408.60000037
2020-10-22,0.8607,0.929,0.8601,0.8902,13409166.600000381
2020-10-23,0.8902,0.9311,0.8619,0.8874,10646203.100000408
2020-10-24,0.8872,0.9354,0.8769,0.9283,9798016.20000044
2020-10-25,0.9279,0.9728,0.9027,0.9048,12520787.200000431
2020-10-26,0.9054,0.9374,0.8593,0.883,14040080.500000412
2020-10-27,0.8827,0.8899,0.8425,0.8615,12334977.700000431
2020-10-28,0.8614,0.8676,0.782,0.8041,16874580.000000414
2020-10-29,0.8048,0.8281,0.747,0.7542,12594094.500000415
2020-10-30,0.7532,0.7827,0.7125,0.7689,14659675.80000039
2020-10-31,0.7693,0.7797,0.726,0.7282,9516442.300000397
2020-11-01,0.728,0.7606,0.7222,0.7538,9004879.000000399
2020-11-02,0.7538,0.7826,0.7265,0.7291,11991187.600000385
2020-11-03,0.7288,0.7341,0.6928,0.7077,11699581.600000406
2020-11-04,0.7075,0.7125,0.6445,0.6745,11769811.9000004
2020-11-05,0.6749,0.703,0.6444,0.6851,13767541.300000414
2020-11-06,0.6851,0.7931,0.6804,0.7879,15675833.300000427
2020-11-07,0.7885,0.8597,0.6896,0.7346,21495305.000000417
2020-11-08,0.7345,0.9056,0.7194,0.8844,19871311.100000374
2020-11-09,0.8843,0.944,0.8322,0.885,27770190.900000382
2020-11-10,0.8852,1.0252,0.8657,1.0021,21338117.000000406
2020-11-11,1.0021,1.0795,0.923,0.927,19960551.50000036
2020-11-12,0.9272,1.0025,0.9054,0.9172,20670016.600000434
2020-11-13,0.917,1.0189,0.9094,0.9887,15266329.500000395
2020-11-14,0.9885,1.0095,0.9303,0.9963,16539158.700000418
2020-11-15,0.9965,1.0986,0.973,1.0121,18379293.300000478
2020-11-16,1.0131,1.0796,0.9972,1.024,14044553.30000051
2020-11-17,1.0241,1.0824,1.018,1.0395,15286869.200000495
2020-11-18,1.0393,1.0528,0.9176,0.9793,19219667.10000049
2020-11-19,0.9791,1.0172,0.9318,0.9644,16622887.700000513
2020-11-20,0.9644,1.0449,0.9534,0.9764,15563384.700000519
2020-11-21,0.9772,1.0831,0.9759,1.0429,19530039.500000574
2020-11-22,1.0438,1.0541,0.9539,1.0276,20161345.80000054
2020-11-23,1.0275,1.1725,1.0084,1.165,22037530.200000506
2020-11-24,1.1658,1.2258,1.0973,1.2114,21964086.200000428
2020-11-25,1.2126,1.244,1.0518,1.0869,19319222.000000503
2020-11-26,1.0881,1.1057,0.8537,0.9398,29430259.30000048
2020-11-27,0.9401,0.9552,0.8614,0.923,18347532.500000555
2020-11-28,0.9231,1.0079,0.9061,0.9911,13072534.900000576
2020-11-29,0.991,1.0253,0.9611,0.9726,12502778.00000055
2020-11-30,0.9731,1.0318,0.957,1.0309,15271850.600000547
2020-12-01,1.0309,1.0855,0.9332,0.9365,17010675.000000544
2020-12-02,0.9364,1.0253,0.9222,0.9933,15215517.200000534
2020-12-03,0.9932,1.0549,0.9801,1.0547,7364943.600000482
2020-12-04,1.0548,1.0639,0.9193,0.9295,7710364.500000497
2020-12-05,0.9294,0.9911,0.9129,0.9813,5565048.500000471
2020-12-06,0.9813,0.9877,0.9254,0.9776,4726028.100000496
2020-12-07,0.9777,1.0224,0.9638,0.9751,4764489.2000004845
2020-12-08,0.9753,0.976,0.8898,0.9275,6999637.700000462
2020-12-09,0.928,0.959,0.8705,0.9244,5844532.5000004545
2020-12-10,0.9243,0.929,0.8664,0.8685,4791328.30000046
2020-12-11,0.8688,0.8717,0.8053,0.8374,5767914.100000451
2020-12-12,0.8368,0.8794,0.8349,0.8746,4848781.900000457
2020-12-13,0.8749,0.907,0.8732,0.8947,4329780.700000459
2020-12-14,0.8942,0.9257,0.8663,0.9238,4334601.700000481
2020-12-15,0.9232,0.975,0.8965,0.961,6867583.600000483
2020-12-16,0.9604,0.9893,0.9328,0.9409,6894254.200000474
2020-12-17,0.9414,1.0389,0.9339,1.0182,14779157.700000498
2020-12-18,1.0181,1.0539,0.9846,1.0081,8883839.800000483
2020-12-19,1.0082,1.0675,0.9895,0.9972,6081794.50000051
2020-12-20,0.9973,0.9976,0.9151,0.9262,7093588.900000502
2020-12-21,0.9266,0.937,0.8673,0.8973,9173550.500000501
2020-12-22,0.8972,0.9236,0.8361,0.8879,7909740.200000559
2020-12-23,0.8875,0.9025,0.6713,0.7295,10426985.300000552
2020-12-24,0.7304,0.8233,0.6799,0.8151,10017223.500000525
2020-12-25,0.8148,0.8551,0.7708,0.7822,6467893.400000492
2020-12-26,0.7829,0.8185,0.7428,0.7753,6483406.200000523
2020-12-27,0.7749,0.8368,0.7251,0.7987,9399971.900000526
2020-12-28,0.7985,0.87,0.7871,0.8067,7681843.200000535
2020-12-29,0.8067,0.8264,0.7301,0.7669,8537948.10000055
2020-12-30,0.7669,0.7741,0.7156,0.7521,5584730.300000542
2020-12-31,0.752,0.7646,0.7111,0.7332,6203309.300000543
2021-01-01,0.7333,0.7996,0.7224,0.7483,7065329.800000559
2021-01-02,0.748,0.7548,0.7032,0.716,7758437.600000546
2021-01-03,0.7161,0.8101,0.7136,0.7963,11707075.200000519
2021-01-04,0.7965,0.8833,0.732,0.8258,15007603.100000575
2021-01-05,0.826,0.8971,0.7656,0.8541,12450391.300000602
2021-01-06,0.8542,1.06,0.8256,1.0369,18386312.20000053
2021-01-07,1.037,1.369,1.0268,1.0954,27701822.80000061
2021-01-08,1.0956,1.3252,0.9673,1.1633,26680627.600000583
2021-01-09,1.1652,1.4537,1.1285,1.3386,18587989.700000625
2021-01-10,1.339,1.3967,1.0652,1.1694,19145824.90000061
2021-01-11,1.1702,1.1758,0.828,0.96,26777085.10000067
2021-01-12,0.9596,1.05,0.9044,0.9363,15182072.800000597
2021-01-13,0.9367,1.0564,0.8848,1.0226,15749784.400000634
2021-01-14,1.0234,1.085,0.9692,1.0434,14055160.000000617
2021-01-15,1.0432,1.1519,0.9739,1.0831,16925437.00000054
2021-01-16,1.0833,1.2319,1.0707,1.1355,14068572.400000561
2021-01-17,1.135,1.2444,1.0445,1.2105,15409893.300000556
2021-01-18,1.2103,1.3033,1.1218,1.2751,15543009.40000051
2021-01-19,1.276,1.2979,1.1245,1.1325,10878726.400000487
2021-01-20,1.1321,1.3738,1.0855,1.3558,23114879.400000464
2021-01-21,1.3544,1.4124,1.1011,1.1235,20804914.20000045
2021-01-22,1.1218,1.2252,1.0416,1.1845,10716668.200000472
2021-01-23,1.1838,1.3811,1.1689,1.3321,14930946.500000529
2021-01-24,1.3318,1.3708,1.2558,1.2983,8141590.90000051
2021-01-25,1.2975,1.5343,1.2969,1.362,14324152.500000494
2021-01-26,1.3605,1.461,1.29,1.3465,11630658.30000053
2021-01-27,1.3469,1.3504,1.1243,1.1587,12968219.100000517
2021-01-28,1.1576,1.2939,1.1259,1.181,11121105.700000493
2021-01-29,1.1815,1.2872,1.1559,1.1995,11146601.20000053
2021-01-30,1.1997,1.2855,1.1448,1.2695,11611873.300000496
2021-01-31,1.2691,1.352,1.1693,1.1966,9416137.300000502
2021-02-01,1.1955,1.305,1.1561,1.2564,8321094.300000529
2021-02-02,1.2561,1.38,1.2205,1.3052,10672183.200000558
2021-02-03,1.3061,1.405,1.2725,1.3663,9552769.900000554
2021-02-04,1.3667,1.5174,1.3048,1.4628,16815455.900000524
2021-02-05,1.4629,1.5972,1.4124,1.5605,15194271.400000528
2021-02-06,1.5606,1.68,1.4623,1.4967,17335519.10000047
2021-02-07,1.4957,1.58,1.377,1.4834,14699004.800000485
2021-02-08,1.4821,1.637,1.4383,1.5479,11181609.600000529
2021-02-09,1.5482,1.7649,1.5076,1.6981,16458746.100000478
2021-02-10,1.7003,1.909,1.5699,1.8045,20422302.700000454
2021-02-11,1.8041,1.97,1.7431,1.8468,13220453.000000468
2021-02-12,1.8505,2.15,1.7509,2.0267,15271717.300000463
2021-02-13,2.0265,2.2976,1.85,2.2401,17767411.200000424
2021-02-14,2.2439,2.6,2.0564,2.3149,25326478.800000478
2021-02-15,2.3151,2.5155,1.9181,2.0873,18355304.00000046
2021-02-16,2.0879,2.186,1.8943,1.9797,13934798.400000457
2021-02-17,1.9803,2.2379,1.7687,2.1246,18987419.100000486
2021-02-18,2.1246,2.2781,2.0918,2.1292,13450681.500000414
2021-02-19,2.1307,2.3123,1.996,2.1513,14177008.000000395
2021-02-20,2.1517,2.253,1.8521,1.9689,12909220.000000417
2021-02-21,1.9716,2.3632,1.9163,2.2023,20575548.2000004
2021-02-22,2.2042,2.2117,1.5367,1.8452,19980453.40000036
2021-02-23,1.8456,1.8657,1.1769,1.4294,24859066.500000272
2021-02-24,1.4309,1.5653,1.3339,1.4367,15385547.000000203
2021-02-25,1.4375,1.5837,1.3122,1.3282,13042307.100000195
2021-02-26,1.33,1.448,1.197,1.3344,15463359.300000213
2021-02-27,1.3343,1.5363,1.3332,1.4386,18005748.400000233
2021-02-28,1.4369,1.5169,1.2153,1.3029,10603918.900000252
2021-03-01,1.3038,1.4358,1.2944,1.4059,7864049.900000289
2021-03-02,1.4057,1.4791,1.3125,1.3642,10621940.000000272
2021-03-03,1.3652,1.6702,1.3433,1.5828,13725260.100000279
2021-03-04,1.5818,1.7111,1.5204,1.624,13045002.600000305
2021-03-05,1.625,1.6841,1.4977,1.6395,9408332.300000299
2021-03-06,1.6383,1.7591,1.5916,1.7432,10235077.800000291
2021-03-07,1.7431,1.95,1.7303,1.9463,12403638.00000032
2021-03-08,1.9472,2.1,1.7737,2.0729,15627428.50000028
2021-03-09,2.0729,2.1557,1.9449,2.0,10342856.100000301
2021-03-10,2.0002,2.395,1.8949,2.1442,21662616.100000285
2021-03-11,2.1429,2.5533,2.0432,2.536,15162911.600000279
2021-03-12,2.5353,2.61,2.2283,2.3057,14083080.10000027
2021-03-13,2.3055,2.5178,2.2308,2.4087,10727564.600000277
2021-03-14,2.4082,2.4316,2.2204,2.2215,10700737.000000302
2021-03-15,2.2218,2.3849,2.066,2.3039,10387945.30000027
2021-03-16,2.3035,2.8471,2.154,2.764,16087306.900000276
2021-03-17,2.7638,2.8,2.3056,2.4517,18746249.90000027
2021-03-18,2.452,2.4731,2.2799,2.2844,9874854.30000033
2021-03-19,2.2846,2.435,2.2201,2.3215,7955560.1000003265
2021-03-20,2.3203,2.4066,2.1901,2.2077,6385277.300000312
2021-03-21,2.2081,2.2628,2.0628,2.1668,9428992.800000355
2021-03-22,2.1685,2.3335,2.0398,2.069,12095180.500000393
2021-03-23,2.0674,2.177,1.9819,1.9945,8699388.100000398
2021-03-24,1.9943,2.2592,1.82,1.8997,12171458.400000395
2021-03-25,1.8997,1.9251,1.7029,1.7946,21102586.200000398
2021-03-26,1.7941,2.1494,1.7908,2.096,15257328.700000387
2021-03-27,2.096,2.2924,1.9818,2.2234,15085948.700000403
2021-03-28,2.2233,2.4568,2.1877,2.3687,13897760.100000404
2021-03-29,2.3684,2.4543,2.2222,2.4258,13172531.500000382
2021-03-30,2.4255,2.6465,2.395,2.4946,11237964.700000387
2021-03-31,2.4956,2.7291,2.1923,2.6736,19115935.20000035
2021-04-01,2.673,2.8128,2.5524,2.5907,10639699.90000034
2021-04-02,2.5915,2.9006,2.5507,2.7825,12659317.700000368
2021-04-03,2.7822,2.7947,2.4447,2.5354,16271060.200000389
2021-04-04,2.5361,3.0911,2.4868,3.0596,15883521.900000328
2021-04-05,3.0595,3.1745,2.8251,2.9805,12979660.100000335
2021-04-06,2.9808,3.2391,2.8513,2.989,11063784.300000343
2021-04-07,2.9912,3.0401,2.6133,2.7025,13910530.700000362
2021-04-08,2.7041,2.9731,2.661,2.8547,10535280.50000035
2021-04-09,2.8548,3.0869,2.835,2.9075,11373480.600000374
2021-04-10,2.9079,2.9991,2.6811,2.7377,7821330.800000359
2021-04-11,2.7388,2.8728,2.6846,2.7568,8362860.600000388
2021-04-12,2.7571,2.9031,2.6275,2.6591,8187763.200000388
2021-04-13,2.6591,2.6848,2.5317,2.6243,8884459.900000397
2021-04-14,2.6243,2.7006,2.4335,2.5552,11097879.300000358
2021-04-15,2.5554,2.7884,2.5062,2.73,10851395.000000373
2021-04-16,2.732,2.9918,2.451,2.9082,18665071.90000042
2021-04-17,2.9082,3.0667,2.7334,2.7727,11201436.80000038
2021-04-18,2.7738,2.7958,1.8047,2.3679,27339797.30000037
2021-04-19,2.3689,2.7767,2.1431,2.58,28093715.80000036
2021-04-20,2.5806,2.9268,2.3555,2.7594,36463978.70000045
2021-04-21,2.7591,3.0358,2.5173,2.5427,18952616.500000462
2021-04-22,2.5431,2.5958,2.168,2.1991,19065018.200000472
2021-04-23,2.1998,2.248,1.73,2.0209,23920999.800000522
2021-04-24,2.0212,2.1652,1.839,1.8526,23651748.70000042
2021-04-25,1.8532,2.2175,1.8118,2.1358,22916705.300000444
2021-04-26,2.1367,2.9565,2.1031,2.8665,30990718.1000004
2021-04-27,2.8685,3.2873,2.8624,2.9875,31741918.70000051
