date,open,high,low,close,volume
2020-09-15,3.2629,3.3258,2.9001,2.9332,4318305.0
2020-09-16,2.9299,2.9299,2.4316,2.5395,5698128.0
2020-09-17,2.54,2.936,2.3569,2.8855,6499338.0
2020-09-18,2.8821,3.15,2.724,3.108,6310796.0
2020-09-19,3.108,3.2509,2.955,3.0193,5004414.0
2020-09-20,3.0159,3.0173,2.6876,2.8635,4430783.0
2020-09-21,2.8567,3.03,2.4576,2.7539,6299704.0
2020-09-22,2.7544,3.01,2.6094,2.9183,8942906.0
2020-09-23,2.9196,3.0935,2.6863,2.8313,7291781.0
2020-09-24,2.835,3.2538,2.7607,3.1392,6564611.0
2020-09-25,3.1314,3.2698,2.898,3.1821,5925744.0
2020-09-26,3.1871,3.249,3.017,3.1262,5033808.0
2020-09-27,3.1275,3.1883,2.977,3.1617,4684139.0
2020-09-28,3.1596,3.2116,2.8909,2.9564,4954686.0
2020-09-29,2.956,3.0207,2.874,2.9517,4430934.0
2020-09-30,2.95,2.989,2.8285,2.9004,3951833.0
2020-10-01,2.9008,2.9968,2.6546,2.8701,4852685.0
2020-10-02,2.8694,2.8851,2.4224,2.6236,5582857.0
2020-10-03,2.6271,2.6689,2.5326,2.5454,4150340.0
2020-10-04,2.5447,2.5909,2.4266,2.5236,4641666.0
2020-10-05,2.5244,2.677,2.4561,2.6495,4421463.0
2020-10-06,2.6517,2.661,2.1346,2.1732,5435007.0
2020-10-07,2.1725,2.4,2.0854,2.3027,6627417.0
2020-10-08,2.3036,2.4629,2.0117,2.3716,8385420.0
2020-10-09,2.3717,2.6289,2.3101,2.5363,6662396.0
2020-10-10,2.5356,2.611,2.3907,2.407,5487486.0
2020-10-11,2.4065,2.4609,2.3378,2.4257,4904544.0
2020-10-12,2.4269,2.7096,2.4171,2.5825,6382872.0
2020-10-13,2.582,2.5889,2.3355,2.4048,6883812.0
2020-10-14,2.4053,2.4464,2.2337,2.3087,4990767.0
2020-10-15,2.3102,2.3443,2.1928,2.267,4524474.0
2020-10-16,2.2668,2.2708,2.103,2.1404,5792357.0
2020-10-17,2.1401,2.2425,2.11,2.2062,4136722.0
2020-10-18,2.2069,2.2649,2.1804,2.2186,3907591.0
2020-10-19,2.2167,2.2206,2.051,2.0578,4834438.0
2020-10-20,2.0576,2.1083,1.8457,1.8905,6052367.0
2020-10-21,1.8885,2.1098,1.8474,1.8933,10108189.0
2020-10-22,1.8933,2.0905,1.8629,1.9619,6143069.0
2020-10-23,1.962,1.9938,1.8502,1.9645,5454719.0
2020-10-24,1.9666,1.9734,1.88,1.9196,4059055.0
2020-10-25,1.9179,1.9281,1.7628,1.7937,5740317.0
2020-10-26,1.7946,1.8723,1.6162,1.6786,6534261.0
2020-10-27,1.6777,1.7542,1.5928,1.7135,7047936.0
2020-10-28,1.7131,1.7287,1.4555,1.5196,10242140.0
2020-10-29,1.5195,1.5773,1.4146,1.4325,6341465.0
