date,open,high,low,close,volume
2020-05-28,0.3246,0.3555,0.2777,0.3126,144093762.19999987
2020-05-29,0.3127,0.335,0.29,0.3097,63363644.80000003
2020-05-30,0.3097,0.3112,0.2822,0.289,47451980.300000004
2020-05-31,0.289,0.291,0.2404,0.2472,53574183.700000025
2020-06-01,0.2471,0.291,0.243,0.2717,61129836.89999996
2020-06-02,0.2715,0.2835,0.1872,0.2541,44630996.50000003
2020-06-03,0.2541,0.28,0.2481,0.276,32361842.90000001
2020-06-04,0.2765,0.295,0.2691,0.2854,43323931.60000015
2020-06-05,0.2854,0.3045,0.2736,0.2787,36294475.50000008
2020-06-06,0.2789,0.2824,0.2701,0.2709,14425831.700000089
2020-06-07,0.2709,0.2712,0.2495,0.2663,26407874.100000065
2020-06-08,0.266,0.2665,0.2537,0.2562,12042694.300000053
2020-06-09,0.2563,0.2596,0.2463,0.2528,15861454.900000049
2020-06-10,0.2528,0.2549,0.235,0.2403,21141706.3
2020-06-11,0.2403,0.2506,0.1977,0.205,43762748.700000115
2020-06-12,0.205,0.259,0.2006,0.2519,89459274.10000032
2020-06-13,0.2521,0.2696,0.2454,0.2524,79778223.20000023
2020-06-14,0.2526,0.253,0.2252,0.2314,39929098.40000026
2020-06-15,0.2315,0.2388,0.21,0.2342,55965982.50000035
2020-06-16,0.2342,0.2385,0.2238,0.2342,21990721.600000285
2020-06-17,0.2342,0.2414,0.2236,0.2346,33601223.300000206
2020-06-18,0.2346,0.2346,0.2181,0.2234,44322369.80000004
2020-06-19,0.2234,0.2346,0.22,0.2243,25932714.50000011
2020-06-20,0.2243,0.2266,0.2167,0.2215,13642439.900000084
2020-06-21,0.2215,0.2267,0.2194,0.2212,8035687.200000072
2020-06-22,0.2209,0.2432,0.2199,0.2421,23705297.500000063
2020-06-23,0.2422,0.2584,0.2403,0.2565,41557078.00000008
2020-06-24,0.2568,0.262,0.2349,0.2453,39461216.200000286
2020-06-25,0.2447,0.2456,0.2276,0.2362,23527780.00000022
2020-06-26,0.2363,0.2366,0.2258,0.231,20226709.200000193
2020-06-27,0.231,0.234,0.1948,0.2098,34076228.20000017
2020-06-28,0.2098,0.2246,0.2084,0.2239,27418880.500000145
2020-06-29,0.2242,0.2274,0.2175,0.2251,21205434.500000104
2020-06-30,0.2251,0.2278,0.2187,0.2215,13845223.000000075
2020-07-01,0.2215,0.2277,0.2173,0.2219,12641978.200000102
2020-07-02,0.2221,0.225,0.213,0.2197,18194311.900000095
2020-07-03,0.2196,0.2199,0.2159,0.2167,9010666.700000156
2020-07-04,0.2166,0.2241,0.214,0.2235,13928125.400000146
2020-07-05,0.2238,0.2239,0.2121,0.2165,13036159.700000133
2020-07-06,0.2166,0.2339,0.2162,0.2312,27412250.500000156
2020-07-07,0.2309,0.258,0.228,0.2577,52791543.50000003
2020-07-08,0.258,0.2662,0.2452,0.2517,44638590.30000007
2020-07-09,0.2518,0.2521,0.2343,0.2419,28071572.799999963
2020-07-10,0.2418,0.2443,0.2304,0.2439,24352494.499999966
2020-07-11,0.2439,0.2595,0.2439,0.2539,34652881.999999866
2020-07-12,0.2539,0.2845,0.2538,0.2811,87232004.80000009
2020-07-13,0.2813,0.2818,0.2011,0.2446,80036086.7999999
2020-07-14,0.2446,0.2555,0.2326,0.2419,60131809.899999656
2020-07-15,0.2418,0.2428,0.2314,0.2376,25461435.29999978
2020-07-16,0.2377,0.2456,0.2204,0.2348,40870016.89999983
2020-07-17,0.2345,0.2454,0.2297,0.2406,24611659.19999984
2020-07-18,0.2408,0.252,0.2364,0.2493,27046246.199999865
2020-07-19,0.2493,0.251,0.235,0.2416,19658217.79999974
2020-07-20,0.2416,0.2435,0.231,0.2366,18353059.999999747
2020-07-21,0.2365,0.2428,0.2321,0.2401,15393943.899999723
2020-07-22,0.2399,0.2592,0.2393,0.2567,37583152.199999765
2020-07-23,0.2566,0.2657,0.2549,0.2599,27199348.199999698
2020-07-24,0.2597,0.2598,0.245,0.2512,22687819.199999686
2020-07-25,0.251,0.2647,0.2497,0.2596,20027543.599999677
2020-07-26,0.2596,0.2617,0.2471,0.2516,20679065.699999765
2020-07-27,0.2515,0.2527,0.225,0.2431,34191434.599999756
2020-07-28,0.2432,0.2515,0.2398,0.2513,13072502.29999976
2020-07-29,0.2513,0.2605,0.247,0.2484,14274532.299999747
2020-07-30,0.2487,0.2606,0.2461,0.2578,17447893.499999736
2020-07-31,0.258,0.2736,0.25,0.27,32473479.09999978
2020-08-01,0.2702,0.3237,0.2661,0.317,81254976.59999952
2020-08-02,0.317,0.3213,0.2168,0.2806,46743240.39999961
2020-08-03,0.2801,0.2972,0.278,0.2878,26714960.399999727
2020-08-04,0.2876,0.3398,0.2875,0.3321,63842683.099999785
2020-08-05,0.3321,0.34,0.3067,0.3142,37983416.19999981
2020-08-06,0.3144,0.3227,0.3056,0.3184,32201229.99999993
2020-08-07,0.3184,0.3261,0.2913,0.3083,28332550.299999863
2020-08-08,0.3082,0.3357,0.3041,0.3306,19757219.99999979
2020-08-09,0.3306,0.3323,0.309,0.3221,20354622.999999847
2020-08-10,0.3221,0.4008,0.3161,0.374,124235152.79999992
2020-08-11,0.374,0.3951,0.3238,0.3562,70791687.6999998
2020-08-12,0.3562,0.4061,0.3262,0.4054,66008288.699999966
2020-08-13,0.4056,0.4271,0.3563,0.3963,102420279.59999977
2020-08-14,0.3958,0.4166,0.3822,0.4016,59053670.299999975
2020-08-15,0.4018,0.4055,0.3809,0.3848,31854998.900000032
2020-08-16,0.3849,0.3994,0.37,0.3973,42277113.20000013
2020-08-17,0.3973,0.4116,0.3825,0.3869,37867424.5
2020-08-18,0.3869,0.4494,0.385,0.436,100937855.50000007
2020-08-19,0.436,0.465,0.392,0.4047,97760580.2
2020-08-20,0.4047,0.4597,0.4026,0.456,60708312.50000004
2020-08-21,0.456,0.482,0.4134,0.4205,106241329.09999995
2020-08-22,0.4209,0.4566,0.3996,0.4499,76795366.39999986
2020-08-23,0.4499,0.4917,0.443,0.4853,58153132.79999988
2020-08-24,0.4853,0.592,0.4717,0.5528,142560906.10000002
2020-08-25,0.5526,0.5588,0.4669,0.507,83669059.10000002
2020-08-26,0.507,0.549,0.4854,0.4962,80420759.19999984
2020-08-27,0.496,0.5002,0.4278,0.4495,65911544.299999945
2020-08-28,0.4495,0.4887,0.4326,0.4753,38259955.09999974
2020-08-29,0.4752,0.5234,0.4655,0.5046,34057957.199999794
2020-08-30,0.5044,0.546,0.4964,0.499,33720374.09999994
2020-08-31,0.4996,0.515,0.477,0.4771,20152644.799999904
2020-09-01,0.4771,0.5143,0.47,0.4896,31613187.499999885
2020-09-02,0.4894,0.5113,0.4476,0.4742,33849140.69999983
2020-09-03,0.4742,0.4832,0.3862,0.3992,45166451.19999994
2020-09-04,0.399,0.4235,0.3701,0.423,38770142.69999991
2020-09-05,0.4228,0.454,0.3689,0.3923,55535451.89999982
2020-09-06,0.3926,0.4301,0.3737,0.427,29374345.199999806
2020-09-07,0.4279,0.4337,0.3802,0.415,27791469.599999804
2020-09-08,0.4147,0.4362,0.3864,0.3972,26310221.599999882
2020-09-09,0.3977,0.489,0.3954,0.4745,47405004.599999785
2020-09-10,0.4745,0.5061,0.4679,0.4861,40650449.19999979
2020-09-11,0.4854,0.5005,0.4539,0.5001,29892650.999999765
2020-09-12,0.4998,0.5499,0.4991,0.5485,43220921.09999958
2020-09-13,0.5482,0.5491,0.494,0.5408,30615621.69999968
2020-09-14,0.5408,0.567,0.5194,0.5267,43734985.5999996
2020-09-15,0.5276,0.5623,0.5196,0.5344,35345238.99999956
2020-09-16,0.5345,0.5345,0.4968,0.5262,39275887.499999374
2020-09-17,0.5258,0.5598,0.5034,0.5587,37442292.69999945
2020-09-18,0.5587,0.6048,0.5339,0.5753,49876767.39999959
2020-09-19,0.5753,0.6088,0.5552,0.5775,39091733.99999957
2020-09-20,0.5774,0.5891,0.5288,0.5549,30428367.399999656
2020-09-21,0.5546,0.594,0.5192,0.5656,67364652.09999985
2020-09-22,0.5646,0.5761,0.531,0.5736,51348087.59999979
2020-09-23,0.573,0.5899,0.5364,0.554,57687519.699999705
2020-09-24,0.5537,0.651,0.5438,0.6372,72516778.8999998
2020-09-25,0.6369,0.6879,0.6245,0.6626,77614907.99999978
2020-09-26,0.6627,0.7296,0.6485,0.6951,63156833.4
2020-09-27,0.6955,0.755,0.661,0.746,67783044.99999997
2020-09-28,0.7457,0.7623,0.7058,0.7156,57192989.90000029
2020-09-29,0.7157,0.778,0.7073,0.776,49931981.3000002
2020-09-30,0.776,0.7977,0.706,0.7456,73160885.00000036
2020-10-01,0.745,0.7555,0.6774,0.725,67627992.90000054
2020-10-02,0.7242,0.733,0.6481,0.6955,64908668.200000204
2020-10-03,0.6955,0.7761,0.6828,0.7488,61911165.700000234
2020-10-04,0.7476,0.7902,0.7193,0.7693,79469698.40000024
2020-10-05,0.7696,0.7764,0.7328,0.7412,47826650.59999994
2020-10-06,0.741,0.745,0.6667,0.685,61726229.00000008
2020-10-07,0.685,0.7475,0.6548,0.7358,63801058.70000008
2020-10-08,0.7359,0.7398,0.6848,0.7172,52416968.10000003
2020-10-09,0.717,0.7488,0.691,0.7143,43621786.599999994
2020-10-10,0.7143,0.7803,0.7104,0.7649,37809034.10000014
2020-10-11,0.7649,0.775,0.7227,0.7427,30404956.200000133
2020-10-12,0.743,0.7555,0.7121,0.7305,35322233.10000004
2020-10-13,0.7304,0.7697,0.7244,0.7521,31833471.599999994
2020-10-14,0.7524,0.7588,0.7142,0.7338,26145003.20000006
2020-10-15,0.7338,0.7342,0.671,0.6871,41551679.69999997
2020-10-16,0.6876,0.7037,0.6516,0.6595,37182841.29999994
2020-10-17,0.6596,0.66,0.6122,0.6237,32063499.600000035
2020-10-18,0.6237,0.6707,0.6178,0.6689,24420611.800000045
2020-10-19,0.6682,0.6781,0.6251,0.6303,30581611.800000012
2020-10-20,0.6309,0.6395,0.5715,0.5963,37274878.40000004
2020-10-21,0.5958,0.66,0.5923,0.6356,39108601.199999966
2020-10-22,0.6356,0.6722,0.6334,0.6539,22811423.699999977
2020-10-23,0.6535,0.6676,0.6178,0.6434,20381322.599999923
2020-10-24,0.6434,0.7294,0.6309,0.7194,44060869.49999992
2020-10-25,0.7195,0.7282,0.6841,0.6946,27521588.800000038
2020-10-26,0.6946,0.715,0.6385,0.6529,29150890.400000013
2020-10-27,0.6528,0.6688,0.6315,0.659,23012090.00000001
2020-10-28,0.659,0.661,0.6064,0.6218,21492243.500000037
2020-10-29,0.6217,0.6311,0.5801,0.5921,20146996.700000044
2020-10-30,0.5923,0.628,0.5763,0.6091,41693937.999999925
2020-10-31,0.6092,0.6172,0.5951,0.6089,15006310.399999997
2020-11-01,0.6089,0.6183,0.5789,0.6106,18841410.900000043
2020-11-02,0.6108,0.635,0.5847,0.5876,27665001.49999991
2020-11-03,0.5872,0.6005,0.5576,0.5823,24607276.00000002
2020-11-04,0.5825,0.5959,0.5504,0.59,21899935.099999946
2020-11-05,0.59,0.6333,0.5731,0.6286,23623548.800000057
2020-11-06,0.6285,0.688,0.6249,0.6771,30817566.799999896
2020-11-07,0.6771,0.7167,0.6113,0.6384,52209953.399999924
2020-11-08,0.6384,0.676,0.6292,0.6637,22196100.299999986
2020-11-09,0.6637,0.6737,0.6071,0.6423,27997450.79999996
2020-11-10,0.6423,0.658,0.6205,0.6408,21802411.799999937
2020-11-11,0.6409,0.6538,0.6102,0.6109,18346962.699999906
2020-11-12,0.6108,0.6284,0.589,0.5997,17291758.799999967
2020-11-13,0.5998,0.6333,0.592,0.63,16295626.300000008
2020-11-14,0.6302,0.6377,0.5942,0.6123,16143040.299999954
2020-11-15,0.6123,0.6223,0.591,0.6026,14531738.79999995
2020-11-16,0.6026,0.63,0.5959,0.6193,15643528.599999938
