date,open,high,low,close,volume
2021-08-10,0.8172,0.8629,0.8007,0.852,3336047.099999998
2021-08-11,0.8519,1.094,0.8492,1.0131,15548864.49999999
2021-08-12,1.012,1.0486,0.9227,0.9666,16692203.500000004
2021-08-13,0.9667,1.0981,0.9516,1.0901,17156079.599999994
2021-08-14,1.0917,1.3123,1.0708,1.2812,25631076.09999999
2021-08-15,1.2808,1.35,1.228,1.2854,25822315.699999955
2021-08-16,1.2857,1.3316,1.1257,1.186,21872589.8
2021-08-17,1.1863,1.2244,1.0834,1.0982,25389394.29999998
2021-08-18,1.0974,1.1965,1.0503,1.1437,27663629.50000001
2021-08-19,1.1447,1.236,1.0894,1.2356,30681272.699999962
2021-08-20,1.236,1.2915,1.2004,1.2636,24136420.70000002
2021-08-21,1.2638,1.285,1.204,1.2172,17817671.79999997
2021-08-22,1.2171,1.2578,1.1808,1.2273,16854885.499999966
2021-08-23,1.2274,1.3065,1.188,1.2477,23714453.099999957
2021-08-24,1.2479,1.2668,1.1213,1.1361,22153659.599999957
2021-08-25,1.136,1.179,1.1092,1.1751,16727251.5
2021-08-26,1.175,1.188,1.0641,1.0734,24258076.700000018
2021-08-27,1.0734,1.194,1.0506,1.1926,24888104.699999996
2021-08-28,1.1929,1.2005,1.1346,1.1478,13856173.800000023
2021-08-29,1.1478,1.1704,1.1119,1.1426,17648993.800000012
2021-08-30,1.1426,1.1508,1.096,1.1022,15518739.099999938
2021-08-31,1.1017,1.243,1.0931,1.1873,38310229.3
2021-09-01,1.1874,1.2402,1.16,1.238,24989960.500000108
2021-09-02,1.238,1.2985,1.2236,1.2553,27077310.600000072
2021-09-03,1.2548,1.3263,1.2213,1.2928,30450517.700000074
2021-09-04,1.2928,1.324,1.2376,1.2564,19593174.40000008
2021-09-05,1.2568,1.3144,1.2385,1.3099,22190379.000000056
2021-09-06,1.3094,1.4183,1.3082,1.3914,49548042.69999995
2021-09-07,1.3913,1.3946,0.94,1.1291,64274911.09999991
