date,open,high,low,close,volume
2020-09-01,34845.4,37000.0,31500.0,32006.3,4308.4659999999885
2020-09-02,32000.0,32852.2,25450.0,31934.5,4936.519000000005
2020-09-03,31934.4,33406.4,27575.0,29408.3,3622.1880000000056
2020-09-04,29341.8,31564.7,23056.3,27286.5,2579.7159999999994
2020-09-05,27275.3,28683.9,18029.9,22184.6,4451.227000000003
2020-09-06,22158.4,25178.8,19163.0,23867.1,2809.4260000000063
2020-09-07,23800.1,24610.8,20292.5,22927.0,1761.2760000000126
2020-09-08,22937.8,23475.2,20918.3,22411.3,1509.9130000000164
2020-09-09,22411.3,29331.8,21492.9,27473.3,2881.8610000000035
2020-09-10,27470.9,34940.0,27441.5,34089.5,4052.162000000018
2020-09-11,34091.0,38251.0,31333.0,37885.1,3007.644000000013
2020-09-12,37905.0,43937.0,35920.5,43050.0,4182.924000000014
2020-09-13,43080.2,43268.8,32416.4,36886.5,4338.957000000025
2020-09-14,36858.1,42148.0,34510.3,39789.0,4238.562000000022
2020-09-15,39762.0,41666.0,35170.6,35402.3,3755.921000000023
2020-09-16,35404.6,37175.0,30567.6,34838.3,5233.826000000027
2020-09-17,34840.2,36750.1,29538.5,33251.0,3631.6080000000225
2020-09-18,33251.0,34750.0,31158.0,32960.0,2736.4010000000285
2020-09-19,33007.7,33136.4,27935.4,30924.7,2785.271000000036
2020-09-20,30900.0,30968.9,26222.0,28016.2,3173.56500000003
2020-09-21,28022.7,28254.5,21640.9,24003.1,5750.721000000024
2020-09-22,24003.1,26759.9,22685.0,24982.4,4683.737000000014
2020-09-23,25002.4,26199.0,21137.4,21263.7,4264.671000000025
2020-09-24,21264.9,25315.9,20360.0,25224.5,4042.9270000000265
2020-09-25,25228.3,27543.2,23210.0,26797.4,3342.598000000029
2020-09-26,26776.6,31780.0,25898.3,31516.1,5150.536000000032
2020-09-27,31477.4,33800.0,28215.7,30605.1,6421.031000000008
2020-09-28,30568.5,31330.0,27500.0,28386.2,3930.7139999999804
2020-09-29,28426.6,28876.9,23518.3,25060.4,6852.676000000008
2020-09-30,25060.6,25140.6,21841.9,23845.5,5716.90500000001
2020-10-01,23879.9,26259.9,21543.2,22811.7,6141.772000000006
2020-10-02,22810.5,23315.9,18933.7,21039.7,7317.780999999998
2020-10-03,21041.3,21684.5,18397.7,18846.9,4960.476000000004
2020-10-04,18855.0,20177.5,15880.0,19150.3,12452.860000000026
2020-10-05,19174.7,20480.1,17501.0,19162.5,9569.279999999997
2020-10-06,19175.9,19426.9,16129.0,16609.2,9117.193000000005
2020-10-07,16607.0,16690.0,13693.8,14847.0,13141.745999999992
2020-10-08,14847.0,17323.6,12246.0,16757.3,26841.658999999887
2020-10-09,16756.3,19527.9,15801.0,18048.9,15942.762999999928
2020-10-10,18051.5,19497.0,15828.0,15991.5,12494.704999999916
2020-10-11,15988.9,17700.0,15023.0,16892.8,13363.873999999945
2020-10-12,16891.0,17565.0,15621.1,16515.4,10036.85599999997
2020-10-13,16520.5,16673.3,15274.6,15646.5,7019.260999999931
2020-10-14,15646.0,16106.8,13711.0,14548.4,10283.53699999995
2020-10-15,14550.3,15792.4,13880.0,14620.7,10962.401999999935
2020-10-16,14620.4,14624.0,13303.7,13411.8,8086.581999999993
2020-10-17,13408.5,14149.9,13110.0,14033.3,5677.820000000002
2020-10-18,14034.7,15775.5,13912.3,15426.0,9396.717000000006
2020-10-19,15421.8,15665.0,13714.2,13728.0,7275.043999999996
2020-10-20,13714.5,14104.0,12712.2,13056.2,8829.737999999987
2020-10-21,13058.9,14667.5,12902.1,13299.7,10443.675999999941
2020-10-22,13299.7,14395.2,13130.2,13724.0,6208.935999999935
2020-10-23,13723.8,14954.1,13612.7,14920.7,8404.661999999944
2020-10-24,14906.1,15494.0,14530.8,14874.6,6281.827999999922
2020-10-25,14872.4,14900.0,14118.8,14317.2,4294.0289999998995
2020-10-26,14303.5,14591.1,13159.9,13574.8,6823.7679999999245
2020-10-27,13582.9,14200.0,13321.9,13382.0,5304.784999999913
2020-10-28,13382.4,13610.9,12015.0,12544.3,7462.935999999909
2020-10-29,12549.6,12934.0,10509.9,10783.0,10066.266999999914
2020-10-30,10778.5,11981.0,9631.5,11008.3,20603.71899999998
2020-10-31,11008.2,11428.3,10240.2,10482.9,9784.632000000065
2020-11-01,10485.1,11044.1,9971.3,10685.3,8942.519000000133
2020-11-02,10685.3,11247.1,10012.9,10099.6,9659.019000000058
2020-11-03,10093.3,10240.8,9262.9,9343.7,11688.59200000011
2020-11-04,9351.0,9692.0,8220.0,8482.1,18704.76600000009
2020-11-05,8489.8,9876.0,7450.0,8480.3,32161.337000000123
2020-11-06,8479.5,11968.0,8392.5,11808.1,31891.958000000144
2020-11-07,11810.9,18099.3,11797.5,14256.3,72701.76100000016
2020-11-08,14271.3,16000.0,13350.1,15116.9,24426.984000000204
2020-11-09,15107.6,15683.0,13900.0,15015.5,21553.30100000021
2020-11-10,15014.9,18918.8,14662.1,18255.3,31421.56400000029
2020-11-11,18257.6,19280.0,15600.0,16669.4,24758.01900000027
2020-11-12,16660.3,17188.0,14941.0,15456.0,19558.115000000318
2020-11-13,15456.0,18447.0,15153.8,17901.2,19631.780000000337
2020-11-14,17894.2,17936.7,16066.0,17212.3,14141.23200000028
2020-11-15,17215.0,18445.0,16550.0,17611.2,15709.885000000248
2020-11-16,17607.1,19159.0,17000.0,18578.9,16095.376000000231
2020-11-17,18576.6,24908.0,18459.7,23928.2,20415.575000000197
2020-11-18,23928.2,26200.0,20562.5,25446.0,25702.325000000237
2020-11-19,25457.0,29674.5,24111.0,27764.2,25204.298000000257
2020-11-20,27770.5,29955.0,25711.0,26561.0,17935.710000000174
2020-11-21,26561.1,27842.4,23480.6,24540.0,15540.922000000193
2020-11-22,24550.8,27218.8,21450.0,24477.5,25671.344000000296
2020-11-23,24494.5,26374.7,23272.6,25253.6,14875.31500000028
2020-11-24,25255.9,26464.0,23300.0,24782.8,11646.83400000024
2020-11-25,24775.0,24900.8,21500.0,22368.3,9399.938000000273
2020-11-26,22370.0,23335.6,18221.0,23328.3,17747.608000000244
2020-11-27,23324.7,25642.6,22239.1,23447.4,14384.480000000216
2020-11-28,23459.7,24463.6,22546.1,23360.0,6452.304000000217
2020-11-29,23350.4,24999.0,22918.0,24597.8,6923.001000000234
2020-11-30,24601.2,26925.9,24601.2,26476.3,8272.020000000237
2020-12-01,26495.0,28359.1,24600.0,25678.9,9156.282000000236
2020-12-02,25665.9,31847.0,25350.9,30345.8,12010.124000000224
2020-12-03,30359.4,31348.6,28516.1,29651.3,8624.634000000226
2020-12-04,29653.2,30599.9,26111.6,26470.0,7458.869000000244
2020-12-05,26451.7,29558.1,26221.9,29351.0,5589.212000000258
2020-12-06,29351.0,29538.0,27840.9,28811.9,4091.421000000238
2020-12-07,28812.6,29457.0,27928.4,28516.4,4242.238000000254
2020-12-08,28523.4,28606.8,24944.4,25468.9,5648.396000000239
2020-12-09,25457.2,26246.2,23550.0,25552.4,6450.826000000251
2020-12-10,25562.0,25844.9,23800.0,23983.7,5056.9190000002745
2020-12-11,23983.6,24200.0,22045.0,23385.5,6645.411000000257
2020-12-12,23401.4,25811.7,23320.1,25342.7,5623.202000000248
2020-12-13,25340.6,27097.4,25328.2,26368.1,4429.484000000248
2020-12-14,26372.6,26375.9,25020.0,25815.8,3674.321000000252
2020-12-15,25827.3,26469.6,24558.6,24787.3,3306.4630000002635
2020-12-16,24789.5,27755.8,24150.0,27017.2,6187.190000000263
2020-12-17,27018.1,28227.4,25850.0,26645.5,6663.987000000265
2020-12-18,26636.3,28721.2,25920.6,27914.7,5498.632000000239
2020-12-19,27917.8,28948.2,27281.6,27644.8,4490.487000000272
2020-12-20,27631.1,27649.2,25339.2,26141.7,3771.9650000002825
2020-12-21,26134.9,27158.3,24050.9,24585.0,4384.144000000271
2020-12-22,24592.7,25285.0,22521.4,24879.0,5074.180000000302
2020-12-23,24878.6,25516.2,18131.0,20077.6,8277.561000000298
2020-12-24,20107.4,24069.7,19215.3,24047.3,8480.823000000271
2020-12-25,24047.2,25200.0,22620.8,23624.0,5573.095000000297
2020-12-26,23636.6,23899.3,21873.4,22606.3,4240.230000000286
2020-12-27,22599.0,25116.6,21555.0,22809.6,5546.537000000298
2020-12-28,22786.9,24500.0,22528.9,22829.1,4292.592000000303
2020-12-29,22819.3,23216.5,21102.9,22200.8,3540.0060000003077
2020-12-30,22205.1,22781.1,21385.4,21802.9,2924.147000000301
2020-12-31,21789.8,23527.0,21105.4,22740.9,4025.5650000003043
2021-01-01,22739.2,23480.0,21560.7,21886.5,2938.286000000304
2021-01-02,21893.3,22402.6,21269.7,21519.4,3412.202000000298
2021-01-03,21503.5,25068.0,20405.2,24013.0,7850.696000000307
2021-01-04,23998.8,26945.6,22043.1,23434.5,7446.771000000311
2021-01-05,23436.8,25028.7,22064.7,23761.5,5674.944000000305
2021-01-06,23776.3,25661.5,22780.6,24820.2,5031.286000000299
2021-01-07,24857.5,37350.0,24166.5,33120.3,16227.414000000326
2021-01-08,33145.1,38719.7,27058.4,34997.1,15570.340000000357
2021-01-09,34992.0,40150.0,33524.2,35820.2,9073.640000000381
2021-01-10,35800.8,38350.0,31088.0,34041.4,6954.477000000346
2021-01-11,34014.3,34130.2,25500.0,30085.9,11985.255000000385
2021-01-12,30127.2,32302.1,28118.6,29774.4,6009.733000000378
2021-01-13,29787.9,33990.0,28232.8,33646.2,6716.282000000373
2021-01-14,33646.2,34379.9,31111.0,32948.0,4951.602000000384
2021-01-15,32961.7,33800.9,28410.0,30224.3,5451.758000000405
2021-01-16,30257.1,35322.5,30227.7,33861.8,6222.257000000387
2021-01-17,33851.1,37013.2,32344.9,34600.3,5646.7570000003625
2021-01-18,34605.4,40407.2,34570.3,38071.6,6664.187000000369
2021-01-19,38071.0,38688.7,33868.7,34430.0,3635.8950000003692
2021-01-20,34424.4,35560.8,31352.7,34111.3,3480.5430000003653
2021-01-21,34082.0,34320.4,26523.8,27924.4,4147.791000000364
2021-01-22,27924.5,32199.1,25983.0,30819.8,4053.880000000363
2021-01-23,30843.7,31644.5,29641.0,30608.7,3240.0510000003646
2021-01-24,30614.3,33076.5,30247.0,32249.0,3071.445000000363
2021-01-25,32264.9,33430.7,29273.5,29337.5,2637.9380000003575
2021-01-26,29341.5,30741.5,28445.2,30345.4,2900.2050000003733
2021-01-27,30334.5,30405.1,27004.7,27642.9,3088.094000000359
2021-01-28,27675.1,30823.6,27294.7,29714.8,2432.8320000003637
2021-01-29,29690.8,32126.1,28540.0,30042.9,3099.9860000003687
2021-01-30,30063.0,32555.0,28520.8,31278.8,3210.6400000003664
2021-01-31,31272.1,33699.3,29561.8,30198.8,3056.557000000362
2021-02-01,30205.8,31272.2,29311.6,31272.2,2076.721000000364
2021-02-02,31224.9,32934.2,30430.2,31786.9,2856.1990000003716
2021-02-03,31778.6,34854.3,31775.2,34185.6,3680.0760000003793
2021-02-04,34175.6,35225.3,29720.9,31128.1,4898.76900000038
2021-02-05,31176.1,34200.0,30490.2,32534.4,4001.5280000003795
2021-02-06,32540.8,33393.6,30589.0,31673.1,2494.363000000387
2021-02-07,31678.4,32028.1,29219.8,30929.9,2367.4360000003826
2021-02-08,30945.6,34135.9,30315.8,32610.6,2965.987000000384
2021-02-09,32637.4,35851.9,31659.2,35343.7,3727.313000000392
2021-02-10,35362.2,39435.4,33100.0,36422.3,6858.442000000383
2021-02-11,36429.9,46100.0,35000.7,43863.1,9005.025000000385
2021-02-12,43900.0,55587.6,43803.3,47175.9,8040.577000000337
2021-02-13,47188.0,49121.6,43547.0,47300.5,4823.6780000003355
2021-02-14,47319.5,47710.6,42845.2,43469.6,2819.4350000003396
2021-02-15,43466.2,44328.6,37841.9,40376.6,4396.411000000345
2021-02-16,40390.4,45573.0,39085.8,43056.3,4254.763000000338
2021-02-17,43019.5,44619.5,40017.9,43940.1,2693.0480000003377
2021-02-18,43949.9,46533.2,42796.7,44344.7,2715.085000000335
2021-02-19,44370.5,46012.1,41882.1,44891.2,3509.9990000003354
2021-02-20,44901.1,48245.3,39000.0,42300.1,5105.361000000318
2021-02-21,42300.0,44950.0,41272.4,43129.3,2933.736000000304
2021-02-22,43128.0,43256.0,29862.0,39199.3,4966.2340000003005
2021-02-23,39228.1,39385.5,28072.7,33381.5,6156.581000000301
2021-02-24,33375.5,37053.5,31769.5,33772.8,3790.0590000003003
2021-02-25,33765.3,35599.6,31303.1,31658.3,2617.531000000301
2021-02-26,31660.3,33280.2,29847.0,31150.3,2860.000000000297
2021-02-27,31159.1,33455.5,30680.2,31473.0,2236.8260000003006
2021-02-28,31455.0,31619.1,27458.4,30737.0,2781.6580000002978
2021-03-01,30753.0,34868.4,30635.0,34806.7,2372.3930000002993
2021-03-02,34816.9,35464.1,32280.2,33262.6,1897.8050000002986
2021-03-03,33259.6,35850.0,32964.5,33743.2,1632.0600000002994
2021-03-04,33764.5,34583.3,31510.0,32393.0,1802.8830000002968
2021-03-05,32393.6,32522.2,29994.6,31940.8,1551.4520000002979
2021-03-06,31944.3,34234.9,31321.0,34032.5,1703.269000000297
2021-03-07,34056.6,39191.4,33894.0,39024.4,2738.3620000003048
2021-03-08,39026.9,42220.6,37874.0,39770.6,4010.732000000307
2021-03-09,39785.0,40363.9,38536.9,39037.1,2262.876000000301
2021-03-10,39033.3,39196.6,36360.0,37889.5,2933.068000000319
2021-03-11,37888.8,38490.0,36053.7,37952.0,2184.936000000311
2021-03-12,37954.2,38269.9,35169.0,36027.5,2272.464000000311
2021-03-13,36027.5,38830.0,34850.0,38259.4,2272.2000000003018
2021-03-14,38268.7,38785.1,35598.5,35857.9,2178.3180000003217
2021-03-15,35856.1,36694.4,33635.4,34608.9,2298.1000000003087
2021-03-16,34616.8,35378.4,33187.0,35028.0,1731.4410000003027
2021-03-17,35028.0,35544.6,33310.0,35172.9,1723.2750000003027
2021-03-18,35151.1,37663.2,34720.1,35739.4,2717.7480000003047
2021-03-19,35737.3,37054.8,34693.1,36038.5,1665.1830000003013
2021-03-20,36029.8,37481.5,35021.0,35132.9,1544.4320000002936
2021-03-21,35121.2,36063.5,34237.7,35390.9,1544.783000000299
2021-03-22,35389.8,35972.8,32836.5,33259.9,1656.4660000002937
2021-03-23,33260.4,34339.9,32842.4,33789.1,1687.813000000295
2021-03-24,33784.2,34771.7,29890.6,30895.3,2052.388000000299
2021-03-25,30892.3,32550.2,29763.6,31881.8,2560.388000000294
2021-03-26,31879.8,33403.0,31805.1,33229.5,1577.0350000002927
2021-03-27,33249.0,33444.9,31701.7,32782.3,1330.8710000002907
2021-03-28,32780.5,33875.0,32030.8,32657.1,1533.960000000294
2021-03-29,32660.3,36387.8,32402.6,35467.1,2063.5390000002926
2021-03-30,35467.0,36907.1,35127.7,35565.2,1741.9220000002979
2021-03-31,35564.8,36957.3,33778.0,36252.0,2028.1360000002958
2021-04-01,36263.2,37339.8,35626.5,36651.8,1822.7120000002888
2021-04-02,36647.6,40250.0,36000.0,39406.5,2715.95800000029
2021-04-03,39402.9,39939.9,35857.4,35857.4,2005.1870000002843
2021-04-04,35873.4,38090.0,35255.0,37653.5,1537.1310000002827
2021-04-05,37638.7,39063.0,36027.1,38603.3,2040.1850000002846
2021-04-06,38585.6,43144.2,38585.6,41420.0,3521.5910000002946
2021-04-07,41420.0,44498.7,38113.6,44012.7,3554.8840000002856
2021-04-08,44012.1,49164.8,43900.0,47314.5,4260.939000000294
2021-04-09,47330.1,48888.5,45222.2,45820.9,2752.503000000294
2021-04-10,45830.7,46231.2,43311.4,44657.9,1889.831000000299
2021-04-11,44676.2,47064.8,44455.8,45164.5,2055.9200000002934
2021-04-12,45147.6,45399.7,41676.4,43104.0,2114.6470000003014
2021-04-13,43098.0,46607.1,42015.9,44916.7,2475.945000000295
2021-04-14,44909.3,48231.6,42726.0,47410.3,3355.4630000002926
2021-04-15,47406.7,53208.3,47120.3,50369.1,4942.988000000299
2021-04-16,50377.5,53658.5,45600.0,53189.5,3273.588000000289
2021-04-17,53198.6,54799.3,48556.2,48722.3,2803.654000000297
2021-04-18,48761.4,53809.7,39677.1,53470.2,4368.697000000303
2021-04-19,53477.8,57561.0,45693.3,46699.8,5192.968000000283
2021-04-20,46719.4,51150.2,43131.9,48901.9,3792.978000000303
2021-04-21,48901.7,50655.8,45005.5,45417.0,2591.9280000002996
2021-04-22,45416.5,51922.6,44061.9,45365.0,3817.736000000304
2021-04-23,45357.0,46377.8,39098.3,43312.8,3528.910000000302
2021-04-24,43327.4,43356.7,38856.5,39251.9,1906.4780000003066
2021-04-25,39248.3,42291.1,37640.5,39782.3,1804.1640000003015
2021-04-26,39787.5,45459.2,39494.3,45273.1,2019.5060000003098
2021-04-27,45263.3,49410.9,44173.6,48747.0,2028.1180000003055
2021-04-28,48751.7,50530.4,47264.6,48045.9,1911.3080000003145
2021-04-29,48067.3,48617.8,45838.1,46860.2,1493.1780000003173
2021-04-30,46857.3,49500.0,46140.0,48996.0,1389.1900000003159
2021-05-01,49001.7,50713.7,48407.5,49854.8,1381.9510000003181
2021-05-02,49871.0,49983.2,47483.3,48543.7,1314.8090000003108
2021-05-03,48543.8,54475.0,48520.4,53393.0,2768.897000000316
2021-05-04,53399.5,55635.7,49590.3,50348.2,3255.6960000003264
2021-05-05,50315.9,54964.6,49892.2,54588.1,2425.6400000003255
2021-05-06,54572.0,57981.8,52094.6,52456.5,3174.1650000003233
2021-05-07,52460.5,54228.2,50230.3,53401.4,3304.2470000003186
2021-05-08,53398.8,55428.6,52031.7,54170.0,2387.594000000332
2021-05-09,54165.3,54999.1,51754.8,53407.5,1806.508000000333
2021-05-10,53439.7,62718.0,49504.3,62464.1,4930.528000000327
2021-05-11,62464.1,83029.9,57200.0,82799.8,12386.41400000032
2021-05-12,82814.7,95217.1,64380.3,65736.3,11213.585000000297
2021-05-13,65744.9,76764.6,60965.6,66116.7,5960.885000000323
2021-05-14,66099.5,81540.6,65560.1,77649.2,4063.4240000002965
2021-05-15,77656.3,79321.1,66059.2,66995.1,3066.776000000286
2021-05-16,66994.8,70809.0,59943.3,65905.1,3008.849000000299
2021-05-17,65852.5,68998.0,58309.0,64299.4,4196.261000000303
2021-05-18,64271.3,77645.5,63662.5,72857.0,4470.319000000287
2021-05-19,72894.4,77000.0,26133.1,45786.4,13419.808000000276
2021-05-20,45739.3,57092.9,37129.0,51720.9,15526.405000000239
2021-05-21,51670.3,54491.6,35579.1,43621.3,4932.675000000253
2021-05-22,43641.0,44622.5,36911.0,38365.3,3547.091000000279
2021-05-23,38376.0,40132.6,23816.2,32505.3,9107.976000000284
2021-05-24,32487.4,52000.0,31838.5,48308.6,8949.621000000323
2021-05-25,48311.1,50888.0,41923.4,46846.5,5667.377000000347
2021-05-26,46839.8,51500.0,45558.4,50145.6,4326.060000000361
2021-05-27,50158.4,50195.9,44794.9,46844.3,2769.416000000366
2021-05-28,46836.0,47322.0,38936.8,40803.1,3553.470000000361
2021-05-29,40826.8,42869.0,37363.5,39129.2,3291.7550000003603
2021-05-30,39145.2,43928.4,37190.9,41819.9,3278.733000000363
2021-05-31,41799.1,47335.5,39919.9,46970.6,3152.501000000371
2021-06-01,46925.6,47774.6,43837.0,45116.0,1992.2880000003545
2021-06-02,45113.0,46669.0,43740.0,45168.0,1921.8270000003592
2021-06-03,45176.0,47211.0,44523.0,45950.0,2086.9210000003586
2021-06-04,45941.0,45977.0,40800.0,42570.0,2901.65100000036
2021-06-05,42583.0,44562.0,40697.0,42188.0,2322.6240000003654
2021-06-06,42195.0,44752.0,41700.0,43041.0,3134.2790000003542
2021-06-07,43041.0,44316.0,40000.0,40396.0,2530.3980000003567
2021-06-08,40381.0,41082.0,35840.0,39656.0,3231.5110000003547
2021-06-09,39657.0,41111.0,37667.0,40495.0,2627.9020000003593
2021-06-10,40516.0,40631.0,37000.0,37779.0,2050.214000000357
2021-06-11,37781.0,38392.0,36006.0,36916.0,1990.2620000003471
2021-06-12,36911.0,37298.0,34568.0,36308.0,1944.4010000003416
2021-06-13,36308.0,38924.0,35189.0,38529.0,1804.67600000034
2021-06-14,38525.0,40434.0,37987.0,39386.0,1919.8970000003364
2021-06-15,39385.0,40211.0,38410.0,38918.0,1396.8920000003438
2021-06-16,38908.0,38968.0,36063.0,36406.0,1648.2260000003375
2021-06-17,36407.0,37574.0,35324.0,36296.0,1811.0450000003395
2021-06-18,36297.0,36481.0,32473.0,34151.0,2328.3170000003447
2021-06-19,34140.0,34882.0,33181.0,33193.0,1322.025000000342
2021-06-20,33204.0,37300.0,32802.0,36008.0,3275.2080000003475
2021-06-21,36009.0,36245.0,28935.0,29340.0,5058.00600000038
2021-06-22,29315.0,31383.0,24932.0,28700.0,5697.363000000366
2021-06-23,28700.0,32386.0,27600.0,30965.0,3238.3120000003914
2021-06-24,30977.0,32077.0,29356.0,31370.0,1864.5280000003988
2021-06-25,31370.0,31844.0,27838.0,28083.0,2383.3400000003967
2021-06-26,28095.0,28952.0,26777.0,28688.0,2745.784000000391
2021-06-27,28681.0,30236.0,27866.0,30235.0,1886.474000000391
2021-06-28,30231.0,32880.0,29775.0,31385.0,2981.251000000396
2021-06-29,31385.0,34860.0,31264.0,33647.0,3336.138000000388
2021-06-30,33627.0,34041.0,31166.0,33817.0,2869.001000000386
2021-07-01,33825.0,34252.0,31578.0,31919.0,2130.1770000003785
2021-07-02,31917.0,32391.0,30573.0,31996.0,1457.3020000003753
2021-07-03,31997.0,33961.0,31500.0,32643.0,1643.9170000003837
2021-07-04,32635.0,34492.0,31565.0,33391.0,1499.2180000003775
2021-07-05,33384.0,33427.0,30944.0,32404.0,1452.2070000003787
2021-07-06,32404.0,37364.0,32396.0,35880.0,3320.4240000003792
2021-07-07,35886.0,37770.0,35140.0,35427.0,2028.3260000003693
2021-07-08,35419.0,35525.0,32282.0,33064.0,2047.0250000003634
2021-07-09,33036.0,34027.0,31625.0,33459.0,1385.2950000003555
2021-07-10,33475.0,34077.0,32433.0,33150.0,1007.0900000003581
2021-07-11,33162.0,34312.0,32761.0,33781.0,831.0460000003574
2021-07-12,33793.0,34376.0,32204.0,32793.0,986.8290000003585
2021-07-13,32796.0,33864.0,31894.0,32275.0,1179.7860000003582
2021-07-14,32288.0,32425.0,30091.0,31475.0,1661.9840000003562
2021-07-15,31475.0,32302.0,29684.0,30092.0,1011.7840000003555
2021-07-16,30092.0,30570.0,27459.0,27578.0,1446.1500000003573
2021-07-17,27582.0,28178.0,27052.0,27638.0,879.0750000003616
2021-07-18,27645.0,28878.0,27503.0,27911.0,810.6770000003601
2021-07-19,27932.0,28301.0,26557.0,26826.0,866.7540000003602
2021-07-20,26860.0,27284.0,24756.0,25761.0,1404.659000000361
2021-07-21,25760.0,29735.0,25263.0,28248.0,1688.4970000003595
2021-07-22,28266.0,28823.0,27425.0,28491.0,1184.0950000003568
2021-07-23,28482.0,29430.0,27904.0,29411.0,1227.068000000357
2021-07-24,29416.0,30273.0,28867.0,29458.0,1279.3540000003609
2021-07-25,29470.0,29970.0,28616.0,29948.0,1081.669000000359
2021-07-26,29945.0,33193.0,29793.0,30014.0,2741.5490000003647
2021-07-27,30026.0,30993.0,28757.0,29621.0,1899.6550000003667
2021-07-28,29614.0,30687.0,29207.0,29864.0,1449.477000000367
2021-07-29,29854.0,31160.0,29377.0,30853.0,1237.710000000373
2021-07-30,30860.0,31460.0,29727.0,31317.0,1395.2250000003687
2021-07-31,31323.0,33721.0,30693.0,33115.0,2121.157000000366
2021-08-01,33115.0,34014.0,31302.0,31667.0,2007.0830000003543
2021-08-02,31668.0,33546.0,31055.0,31983.0,1796.6010000003587
2021-08-03,31973.0,32658.0,30552.0,31890.0,1911.0290000003529
2021-08-04,31893.0,33351.0,31134.0,33023.0,1330.4570000003564
2021-08-05,33019.0,33715.0,31325.0,32935.0,1890.3050000003575
2021-08-06,32935.0,33727.0,32164.0,33234.0,1081.8610000003544
2021-08-07,33244.0,35089.0,32826.0,34658.0,1776.8610000003525
2021-08-08,34664.0,34898.0,32106.0,32744.0,1374.7670000003566
2021-08-09,32738.0,34339.0,31779.0,33934.0,1434.294000000359
2021-08-10,33934.0,35680.0,33501.0,34905.0,1720.8140000003577
2021-08-11,34917.0,38397.0,34810.0,37986.0,2122.536000000351
2021-08-12,37978.0,40000.0,35560.0,37036.0,3122.17600000036
2021-08-13,37039.0,40552.0,36626.0,40236.0,1849.9950000003541
2021-08-14,40239.0,40253.0,38200.0,39576.0,1501.6200000003462
2021-08-15,39568.0,40090.0,37720.0,39889.0,1356.053000000347
2021-08-16,39899.0,42092.0,38941.0,39316.0,1830.9080000003505
2021-08-17,39313.0,41886.0,37404.0,37874.0,1871.53800000035
2021-08-18,37862.0,38883.0,36791.0,37167.0,1450.341000000343
2021-08-19,37167.0,39200.0,36109.0,39174.0,1234.1880000003541
2021-08-20,39170.0,40388.0,38876.0,39789.0,1187.9550000003485
2021-08-21,39797.0,39999.0,38542.0,38802.0,1083.8500000003494
2021-08-22,38805.0,41087.0,38380.0,39529.0,1462.0910000003478
2021-08-23,39522.0,40854.0,39489.0,40053.0,1326.2560000003516
2021-08-24,40038.0,40525.0,36857.0,37093.0,1605.3050000003527
2021-08-25,37077.0,38433.0,35977.0,38316.0,1274.6400000003448
2021-08-26,38301.0,38494.0,35500.0,36130.0,1241.5760000003518
2021-08-27,36112.0,38366.0,35143.0,37868.0,1628.636000000351
2021-08-28,37846.0,38354.0,37095.0,38115.0,905.0840000003511
2021-08-29,38117.0,38738.0,36995.0,37502.0,831.5990000003507
2021-08-30,37505.0,37726.0,35931.0,36280.0,937.4190000003465
2021-08-31,36283.0,38880.0,35531.0,38368.0,1807.4650000003412
2021-09-01,38372.0,40530.0,37806.0,40017.0,2334.1600000003414
2021-09-02,40014.0,40344.0,38594.0,38725.0,1207.8400000003417
2021-09-03,38722.0,41097.0,37757.0,40475.0,1968.7780000003422
2021-09-04,40481.0,43649.0,39790.0,41529.0,3745.3060000003434
2021-09-05,41535.0,43949.0,40600.0,42984.0,2579.219000000343
2021-09-06,42988.0,43648.0,41413.0,42240.0,2031.543000000342
