date,open,high,low,close,volume
2020-02-06,71.22,73.47,67.76,70.17,69289.16000000006
2020-02-07,70.21,72.25,68.03,68.59,98172.84299999992
2020-02-08,68.61,72.34,66.0,70.13,89554.0270000002
2020-02-09,70.14,73.1,68.85,71.43,73579.21300000034
2020-02-10,71.43,71.65,68.0,69.9,76113.40100000009
2020-02-11,69.9,73.21,68.24,72.75,92413.8480000002
2020-02-12,72.8,75.27,72.37,73.61,109908.37400000093
2020-02-13,73.61,76.01,70.1,72.12,121454.49900000072
2020-02-14,72.13,73.39,70.47,72.96,82366.84600000031
2020-02-15,72.97,73.09,62.43,64.53,106902.64400000057
2020-02-16,64.53,66.62,53.42,60.06,177638.01100000096
2020-02-17,60.04,66.16,54.82,64.21,249737.3180000009
2020-02-18,64.22,66.5,60.07,65.91,220269.2000000014
2020-02-19,65.97,69.67,60.7,62.07,124006.93700000105
2020-02-20,62.07,64.2,58.01,60.8,181149.10900000043
2020-02-21,60.78,64.03,59.9,61.63,112631.85700000096
2020-02-22,61.59,62.3,60.01,60.86,62341.265000000916
2020-02-23,60.82,63.85,60.81,63.4,107643.86500000069
2020-02-24,63.4,64.38,58.92,60.76,154634.05800000025
2020-02-25,60.73,61.01,56.16,57.11,121131.63300000026
2020-02-26,57.12,58.07,48.2,51.38,230130.04600000023
2020-02-27,51.38,55.15,47.97,52.98,200530.65200000073
2020-02-28,53.02,54.18,48.71,50.79,155193.1020000003
2020-02-29,50.83,52.19,48.96,48.98,131075.268000001
2020-03-01,48.99,51.6,48.01,49.08,147671.28100000002
2020-03-02,49.11,52.99,48.85,52.39,110757.8429999999
2020-03-03,52.41,52.43,49.8,50.84,94094.61199999967
2020-03-04,50.84,51.56,48.95,50.16,69117.99199999981
2020-03-05,50.24,53.26,50.21,51.9,121733.29299999945
2020-03-06,51.92,53.58,51.07,53.34,94310.24699999935
2020-03-07,53.3,53.56,50.34,50.68,70776.32299999965
2020-03-08,50.62,50.68,42.01,42.81,232992.29400000046
2020-03-09,42.86,44.22,38.79,42.21,230627.64299999998
2020-03-10,42.18,42.61,40.32,41.46,135221.2030000001
2020-03-11,41.45,42.14,37.41,40.26,135940.41899999982
2020-03-12,40.26,40.43,24.08,25.38,414644.7500000005
2020-03-13,25.32,29.83,16.91,27.38,673893.388999997
2020-03-14,27.39,27.68,24.61,24.94,310368.9219999958
2020-03-15,24.96,27.0,24.6,25.66,249346.34799999502
2020-03-16,25.66,26.23,21.26,24.67,407380.13899999653
2020-03-17,24.72,25.73,23.88,25.01,160873.96099999652
2020-03-18,25.0,30.03,24.29,29.75,302854.990999997
2020-03-19,29.74,33.85,28.13,31.95,361032.9239999965
