date,open,high,low,close,volume
2020-11-25,14.322000000000001,19.699,13.030999999999999,14.735,1894971.9999999967
2020-11-26,14.728,15.432,11.087,11.857000000000001,1406867.4999999986
2020-11-27,11.860999999999999,13.525,11.110999999999999,12.259,507469.1999999997
2020-11-28,12.267999999999999,15.84,11.68,14.898,1074279.199999999
2020-11-29,14.914000000000001,15.5,13.613,13.932,762906.8000000049
2020-11-30,13.942,15.999,13.708,15.1,782749.0000000055
2020-12-01,15.120999999999999,16.868,13.587,13.914000000000001,1219115.3000000066
2020-12-02,13.933,14.725,13.216,14.112,730426.6000000061
2020-12-03,14.097999999999999,14.173,13.3,13.895999999999999,451511.50000000634
2020-12-04,13.885,14.15,11.272,11.589,811773.7000000066
2020-12-05,11.581,12.995999999999999,11.32,12.537,508284.70000000525
2020-12-06,12.535,12.718,11.683,12.325999999999999,385578.1000000045
2020-12-07,12.329,12.515999999999998,11.522,11.975999999999999,474436.20000000496
2020-12-08,11.987,12.789000000000001,10.15,10.394,1136719.600000007
2020-12-09,10.389000000000001,11.04,9.8,10.638,610101.9000000095
2020-12-10,10.652000000000001,10.699000000000002,9.72,10.106,439553.50000001123
2020-12-11,10.097999999999999,10.177999999999999,8.957,9.062000000000001,453910.200000012
2020-12-12,9.045,10.407,9.026,10.211,551339.8000000119
2020-12-13,10.213,11.43,9.892000000000001,11.033,827693.7000000108
2020-12-14,11.040999999999999,12.243,10.927999999999999,11.357999999999999,1070205.800000011
2020-12-15,11.367,11.86,10.651,11.155,704562.900000011
2020-12-16,11.152999999999999,12.8,10.7,12.714,797108.8000000096
2020-12-17,12.722999999999999,13.693,11.853,12.037,1277822.5000000035
2020-12-18,12.036,12.7,11.71,12.123,665863.6000000017
2020-12-19,12.127,12.710999999999999,12.012,12.103,599037.500000002
2020-12-20,12.114,12.522,11.181,11.443,551251.200000004
2020-12-21,11.454,11.685,10.312000000000001,10.469000000000001,688352.5000000047
2020-12-22,10.48,10.97,9.995,10.362,494628.4000000056
2020-12-23,10.357000000000001,10.585,8.279,8.673,597153.9000000051
2020-12-24,8.666,9.959,8.31,9.785,584872.3000000069
2020-12-25,9.788,11.378,9.609,11.237,1080792.700000007
2020-12-26,11.249,12.232000000000001,10.458,11.924000000000001,748134.3000000056
2020-12-27,11.933,13.331,11.921,12.59,1151507.200000007
2020-12-28,12.6,13.209000000000001,11.725,12.205,430759.20000000653
2020-12-29,12.207,12.386,10.275,11.606,717703.5000000078
2020-12-30,11.616,12.285,10.614,10.849,585478.000000007
2020-12-31,10.855,11.706,10.324000000000002,11.607999999999999,454728.10000000737
2021-01-01,11.597000000000001,14.661,11.335,11.802,2555854.800000011
2021-01-02,11.806,12.435,11.252,11.784,977518.0000000116
2021-01-03,11.78,14.793,11.634,13.599,1633738.1000000117
2021-01-04,13.588,15.11,11.568,13.497,1191057.000000011
2021-01-05,13.495,14.963,12.786,14.447000000000001,660293.500000012
2021-01-06,14.456,16.578,13.565,16.195,884523.6000000119
2021-01-07,16.186,16.242,13.8,14.632,661005.4000000118
2021-01-08,14.636,14.960999999999999,13.097000000000001,14.508,547258.5000000128
2021-01-09,14.512,16.1,14.05,15.777000000000001,456030.6000000131
2021-01-10,15.772,23.820999999999998,14.942,22.1,3988552.300000009
2021-01-11,22.095,29.92,16.997,24.083000000000002,8622897.400000008
2021-01-12,24.09,30.7,22.565,27.101999999999997,3857903.300000029
2021-01-13,27.101999999999997,28.311,24.121,26.93,1431479.0000000324
2021-01-14,26.938000000000002,27.476999999999997,24.66,25.189,878379.3000000311
2021-01-15,25.171,25.994,21.564,23.596,1028772.5000000314
2021-01-16,23.614,26.983,23.528000000000002,24.307,690227.1000000312
2021-01-17,24.301,29.88,22.851999999999997,28.225,870241.6000000295
2021-01-18,28.221,34.234,28.221,30.572,1270543.6000000285
2021-01-19,30.572,32.974000000000004,28.5,29.293000000000003,533170.2000000278
2021-01-20,29.339000000000002,33.248000000000005,27.357,31.776,746286.3000000254
2021-01-21,31.789,33.284,26.978,27.730999999999998,625409.4000000263
2021-01-22,27.715,29.25,24.66,27.561999999999998,479841.60000002495
